priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
UpToNow,מקסיקו,כתום,2,1997,25,1.25,2021-11-29T00:00:00.000Z,22,0
UpToNow,אוסטרליה,כתום,2,1698,3,0.18,2021-11-29T00:00:00.000Z,2,1
UpToNow,אורגוואי,כתום,2,597,3,0.5,2021-11-29T00:00:00.000Z,3,0
UpToNow,סט. לוציה,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,ליכטנשטיין,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,אלגיריה,כתום,2,13,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,טיוואן,כתום,2,207,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,גיברלטר,כתום,2,121,1,0.83,2021-11-29T00:00:00.000Z,1,0
UpToNow,ארמניה,כתום,2,1392,16,1.15,2021-11-29T00:00:00.000Z,16,0
UpToNow,אריתראה,אדום,1,5,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,גרמניה,כתום,2,95910,217,0.23,2021-11-29T00:00:00.000Z,204,11
UpToNow,צ'ילה,כתום,2,414,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,אוסטריה,כתום,2,82004,257,0.31,2021-11-29T00:00:00.000Z,250,7
UpToNow,קיריבטי,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,סורינם,כתום,2,7,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,גויאנה,כתום,2,20,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,דומיניקה,כתום,2,49,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,אנגליה,אדום,1,1,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,טובלו,כתום,2,7,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,אוזבקיסטן,כתום,2,4338,108,2.49,2021-11-29T00:00:00.000Z,44,64
UpToNow,פרו,כתום,2,1065,16,1.5,2021-11-29T00:00:00.000Z,16,0
UpToNow,סלובקיה,כתום,2,1572,4,0.25,2021-11-29T00:00:00.000Z,4,0
UpToNow,גואדאלופ,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
UpToNow,תאילנד,כתום,2,10015,32,0.32,2021-11-29T00:00:00.000Z,27,5
UpToNow,גאנה,אדום,1,816,7,0.86,2021-11-29T00:00:00.000Z,7,0
UpToNow,אוגנדה,אדום,1,727,6,0.83,2021-11-29T00:00:00.000Z,5,1
UpToNow,קמבודיה,כתום,2,43,1,2.33,2021-11-29T00:00:00.000Z,0,1
