Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc,vaccinated_validity_perc,vaccinated_expired_perc,not_vaccinated_perc
2020-12-19T00:00:00.000Z,45,66,0,0,1,0,0,0,0,0,0,100
2020-12-20T00:00:00.000Z,7385,7451,0.08,0,1,0,0,0,0,0,0,100
2020-12-21T00:00:00.000Z,24907,32358,0.35,0,1,0,0,0,0,0,0,100
2020-12-22T00:00:00.000Z,44633,76991,0.83,0,1,0,0,0,0,0,0,100
2020-12-23T00:00:00.000Z,62888,139879,1.5,0,1,0,0,0,0,0,0,100
2020-12-24T00:00:00.000Z,73389,213268,2.29,0,1,0,0,0,0,0,0,100
2020-12-25T00:00:00.000Z,38491,251759,2.71,0,1,0,0,0,0,0,0,100
2020-12-26T00:00:00.000Z,32604,284363,3.06,0,1,0,0,0,0,0,0,100
2020-12-27T00:00:00.000Z,104504,388867,4.18,0,1,0,0,0,0,0,0,100
2020-12-28T00:00:00.000Z,134965,523832,5.63,0,1,0,0,0,0,0,0,100
2020-12-29T00:00:00.000Z,156214,680046,7.31,0,1,0,0,0,0,0,0,100
2020-12-30T00:00:00.000Z,153046,833092,8.96,0,1,0,0,0,0,0,0,100
2020-12-31T00:00:00.000Z,158468,991560,10.66,0,1,0,0,0,0,0,0,100
2021-01-01T00:00:00.000Z,71377,1062937,11.43,0,1,0,0,0,0,0,0,100
2021-01-02T00:00:00.000Z,71701,1134638,12.2,0,1,0,0,0,0,0,0,100
2021-01-03T00:00:00.000Z,149669,1284307,13.81,0,1,0,0,0,0,0,0,100
2021-01-04T00:00:00.000Z,152090,1436397,15.45,1,2,0,0,0,0,0,0,100
2021-01-05T00:00:00.000Z,125087,1561484,16.79,0,2,0,0,0,0,0,0,100
2021-01-06T00:00:00.000Z,103275,1664759,17.9,2,4,0,0,0,0,0,0,100
2021-01-07T00:00:00.000Z,115985,1780744,19.15,5,9,0,0,0,0,0,0,100
2021-01-08T00:00:00.000Z,66408,1847152,19.86,3,12,0,0,0,0,0,0,100
2021-01-09T00:00:00.000Z,44514,1891666,20.34,23,35,0,0,0,0,0,0,100
2021-01-10T00:00:00.000Z,37601,1929267,20.75,5994,6029,0.06,0,0,0,0,0,100
2021-01-11T00:00:00.000Z,21110,1950377,20.97,19251,25280,0.27,0,0,0,0,0,100
2021-01-12T00:00:00.000Z,24003,1974380,21.23,35649,60929,0.66,0,0,0,0,0,100
2021-01-13T00:00:00.000Z,51996,2026376,21.79,56853,117782,1.27,0,0,0,0,0,100
2021-01-14T00:00:00.000Z,56409,2082785,22.4,68812,186594,2.01,0,0,0,0,0,100
2021-01-15T00:00:00.000Z,30701,2113486,22.73,35915,222509,2.39,0,0,0,0,0,100
2021-01-16T00:00:00.000Z,29424,2142910,23.04,26000,248509,2.67,0,0,0,0,0,100
2021-01-17T00:00:00.000Z,68365,2211275,23.78,84555,333064,3.58,0,0,0,0.36,0,99.64
2021-01-18T00:00:00.000Z,69676,2280951,24.53,120361,453425,4.88,0,0,0,0.64,0,99.36
2021-01-19T00:00:00.000Z,72752,2353703,25.31,137747,591172,6.36,0,0,0,1.16,0,98.84
2021-01-20T00:00:00.000Z,76739,2430442,26.14,143648,734820,7.9,0,0,0,1.98,0,98.02
2021-01-21T00:00:00.000Z,69849,2500291,26.89,164301,899121,9.67,0,0,0,2.98,0,97.02
2021-01-22T00:00:00.000Z,37819,2538110,27.29,71055,970176,10.43,0,0,0,3.5,0,96.5
2021-01-23T00:00:00.000Z,39912,2578022,27.72,53539,1023715,11.01,0,0,0,3.89,0,96.11
2021-01-24T00:00:00.000Z,69028,2647050,28.47,140601,1164316,12.52,0,0,0,5.1,0,94.9
2021-01-25T00:00:00.000Z,80820,2727870,29.33,139405,1303721,14.02,0,0,0,6.77,0,93.23
2021-01-26T00:00:00.000Z,78619,2806489,30.18,126307,1430028,15.38,0,0,0,8.64,0,91.36
2021-01-27T00:00:00.000Z,77842,2884331,31.02,124935,1554963,16.72,0,0,0,10.55,0,89.45
2021-01-28T00:00:00.000Z,79451,2963782,31.87,130503,1685466,18.12,0,0,0,12.68,0,87.32
2021-01-29T00:00:00.000Z,36602,3000384,32.26,64732,1750198,18.82,0,0,0,13.6,0,86.4
2021-01-30T00:00:00.000Z,34350,3034734,32.63,42723,1792921,19.28,0,0,0,14.29,0,85.71
2021-01-31T00:00:00.000Z,73258,3107992,33.42,59442,1852363,19.92,0,0,0,16.06,0,83.94
2021-02-01T00:00:00.000Z,82418,3190410,34.31,35288,1887651,20.3,0,0,0,17.8,0,82.2
2021-02-02T00:00:00.000Z,69982,3260392,35.06,31010,1918661,20.63,0,0,0,19.34,0,80.66
2021-02-03T00:00:00.000Z,60199,3320591,35.71,51350,1970011,21.18,0,0,0,20.82,0,79.18
2021-02-04T00:00:00.000Z,72520,3393111,36.49,58019,2028030,21.81,0,0,0,22.37,0,77.63
2021-02-05T00:00:00.000Z,33860,3426971,36.85,28729,2056759,22.12,0,0,0,23.13,0,76.87
2021-02-06T00:00:00.000Z,21572,3448543,37.08,22191,2078950,22.36,0,0,0,23.62,0,76.38
2021-02-07T00:00:00.000Z,54025,3502568,37.66,68659,2147609,23.09,0,0,0,24.38,0,75.62
2021-02-08T00:00:00.000Z,58556,3561124,38.29,65357,2212966,23.8,0,0,0,24.93,0,75.07
2021-02-09T00:00:00.000Z,66251,3627375,39.01,67451,2280417,24.52,0,0,0,25.46,0,74.54
2021-02-10T00:00:00.000Z,70445,3697820,39.76,72174,2352591,25.3,0,0,0,26.2,0,73.8
2021-02-11T00:00:00.000Z,81060,3778880,40.64,71985,2424576,26.07,0,0,0,27.05,0,72.95
2021-02-12T00:00:00.000Z,39024,3817904,41.06,37504,2462080,26.48,0,0,0,27.48,0,72.52
2021-02-13T00:00:00.000Z,27408,3845312,41.35,30390,2492470,26.8,0,0,0,27.79,0,72.21
2021-02-14T00:00:00.000Z,74827,3920139,42.16,68991,2561461,27.54,0,0,0,28.73,0,71.27
2021-02-15T00:00:00.000Z,81443,4001582,43.03,75611,2637072,28.36,0,0,0,29.66,0,70.34
2021-02-16T00:00:00.000Z,83345,4084927,43.93,78188,2715260,29.2,0,0,0,30.61,0,69.39
2021-02-17T00:00:00.000Z,61888,4146815,44.59,75534,2790794,30.01,0,0,0,31.53,0,68.47
2021-02-18T00:00:00.000Z,69062,4215877,45.34,79654,2870448,30.87,0,0,0,32.48,0,67.52
2021-02-19T00:00:00.000Z,39591,4255468,45.76,38081,2908529,31.28,0,0,0,32.99,0,67.01
2021-02-20T00:00:00.000Z,31610,4287078,46.1,28689,2937218,31.59,0,0,0,33.4,0,66.6
2021-02-21T00:00:00.000Z,79364,4366442,46.95,78369,3015587,32.43,0,0,0,34.36,0,65.64
2021-02-22T00:00:00.000Z,84966,4451408,47.87,80516,3096103,33.29,0,0,0,35.4,0,64.6
2021-02-23T00:00:00.000Z,77230,4528638,48.7,70384,3166487,34.05,0,0,0,36.44,0,63.56
2021-02-24T00:00:00.000Z,60975,4589613,49.35,63021,3229508,34.73,0,0,0,37.36,0,62.64
2021-02-25T00:00:00.000Z,51617,4641230,49.91,64700,3294208,35.42,0,0,0,38.28,0,61.72
2021-02-26T00:00:00.000Z,25820,4667050,50.19,31965,3326173,35.77,0,0,0,38.72,0,61.28
2021-02-27T00:00:00.000Z,18290,4685340,50.38,21170,3347343,36,0,0,0,39.04,0,60.96
2021-02-28T00:00:00.000Z,40263,4725603,50.82,55820,3403163,36.6,0,0,0,39.88,0,60.12
2021-03-01T00:00:00.000Z,45618,4771221,51.31,61358,3464521,37.26,0,0,0,40.74,0,59.26
2021-03-02T00:00:00.000Z,41084,4812305,51.75,64688,3529209,37.95,0,0,0,41.5,0,58.5
2021-03-03T00:00:00.000Z,41910,4854215,52.2,66683,3595892,38.67,0,0,0,42.2,0,57.8
2021-03-04T00:00:00.000Z,39576,4893791,52.63,79014,3674906,39.52,0,0,0,42.9,0,57.1
2021-03-05T00:00:00.000Z,17252,4911043,52.81,40395,3715301,39.95,0,0,0,43.24,0,56.76
2021-03-06T00:00:00.000Z,10636,4921679,52.93,25308,3740609,40.22,0,0,0,43.45,0,56.55
2021-03-07T00:00:00.000Z,31063,4952742,53.26,72778,3813387,41.01,0,0,0,44.04,0,55.96
2021-03-08T00:00:00.000Z,27263,4980005,53.55,73209,3886596,41.79,0,0,0,44.66,0,55.34
2021-03-09T00:00:00.000Z,26637,5006642,53.84,76533,3963129,42.62,0,0,0,45.32,0,54.68
2021-03-10T00:00:00.000Z,23222,5029864,54.09,58594,4021723,43.25,0,0,0,45.98,0,54.02
2021-03-11T00:00:00.000Z,23182,5053046,54.34,68986,4090709,43.99,0,0,0,46.71,0,53.29
2021-03-12T00:00:00.000Z,11178,5064224,54.46,41338,4132047,44.43,0,0,0,47.07,0,52.93
2021-03-13T00:00:00.000Z,7890,5072114,54.54,25202,4157249,44.7,0,0,0,47.3,0,52.7
2021-03-14T00:00:00.000Z,20883,5092997,54.77,73878,4231127,45.5,0,0,0,47.94,0,52.06
2021-03-15T00:00:00.000Z,20035,5113032,54.98,78178,4309305,46.34,0,0,0,48.56,0,51.44
2021-03-16T00:00:00.000Z,18641,5131673,55.18,71394,4380699,47.11,0,0,0,49.17,0,50.83
2021-03-17T00:00:00.000Z,17591,5149264,55.37,58942,4439641,47.74,0,0,0,49.67,0,50.33
2021-03-18T00:00:00.000Z,15932,5165196,55.54,58038,4497679,48.37,0,0,0,50.2,0,49.8
2021-03-19T00:00:00.000Z,6846,5172042,55.62,27914,4525593,48.67,0,0,0,50.5,0,49.5
2021-03-20T00:00:00.000Z,5159,5177201,55.67,15261,4540854,48.83,0,0,0,50.69,0,49.31
2021-03-21T00:00:00.000Z,13097,5190298,55.81,40440,4581294,49.27,0,0,0,51.22,0,48.78
2021-03-22T00:00:00.000Z,13452,5203750,55.96,40451,4621745,49.7,0,0,0,51.76,0,48.24
2021-03-23T00:00:00.000Z,2704,5206454,55.99,7214,4628959,49.78,0,0,0,52.19,0,47.81
2021-03-24T00:00:00.000Z,10881,5217335,56.1,46458,4675417,50.28,0,0,0,52.59,0,47.41
2021-03-25T00:00:00.000Z,10135,5227470,56.21,35349,4710766,50.66,0,0,0,52.98,0,47.02
2021-03-26T00:00:00.000Z,4081,5231551,56.26,13266,4724032,50.8,0,0,0,53.16,0,46.84
2021-03-27T00:00:00.000Z,1736,5233287,56.28,4227,4728259,50.85,0,0,0,53.26,0,46.74
2021-03-28T00:00:00.000Z,2066,5235353,56.3,4578,4732837,50.89,0,0,0,53.49,0,46.51
2021-03-29T00:00:00.000Z,6822,5242175,56.37,29946,4762783,51.22,0,0,0,53.76,0,46.24
2021-03-30T00:00:00.000Z,7751,5249926,56.46,22345,4785128,51.46,0,0,0,53.84,0,46.16
2021-03-31T00:00:00.000Z,8042,5257968,56.54,19372,4804500,51.67,0,0,0,54.14,0,45.86
2021-04-01T00:00:00.000Z,8048,5266016,56.63,18591,4823091,51.87,0,0,0,54.37,0,45.63
2021-04-02T00:00:00.000Z,2845,5268861,56.66,8054,4831145,51.95,0,0,0,54.46,0,45.54
2021-04-03T00:00:00.000Z,1369,5270230,56.67,2921,4834066,51.98,0,0,0,54.49,0,45.51
2021-04-04T00:00:00.000Z,9581,5279811,56.78,22781,4856847,52.23,0,0,0,54.58,0,45.42
2021-04-05T00:00:00.000Z,10243,5290054,56.89,21174,4878021,52.46,0,0,0,54.79,0,45.21
2021-04-06T00:00:00.000Z,8882,5298936,56.98,16672,4894693,52.64,0,0,0,54.97,0,45.03
2021-04-07T00:00:00.000Z,8776,5307712,57.08,15187,4909880,52.8,0,0,0,55.12,0,44.88
2021-04-08T00:00:00.000Z,9250,5316962,57.18,16896,4926776,52.98,0,0,0,55.28,0,44.72
2021-04-09T00:00:00.000Z,3465,5320427,57.21,6145,4932921,53.05,0,0,0,55.34,0,44.66
2021-04-10T00:00:00.000Z,1553,5321980,57.23,3469,4936390,53.08,0,0,0,55.37,0,44.63
2021-04-11T00:00:00.000Z,8958,5330938,57.33,14181,4950571,53.24,0,0,0,55.54,0,44.46
2021-04-12T00:00:00.000Z,8797,5339735,57.42,13129,4963700,53.38,0,0,0,55.71,0,44.29
2021-04-13T00:00:00.000Z,5696,5345431,57.48,4868,4968568,53.43,0,0,0,55.83,0,44.17
2021-04-14T00:00:00.000Z,3510,5348941,57.52,5193,4973761,53.49,0,0,0,55.93,0,44.07
2021-04-15T00:00:00.000Z,539,5349480,57.53,507,4974268,53.49,0,0,0,56.03,0,43.97
2021-04-16T00:00:00.000Z,3279,5352759,57.56,6554,4980822,53.56,0,0,0,56.08,0,43.92
2021-04-17T00:00:00.000Z,770,5353529,57.57,1939,4982761,53.58,0,0,0,56.1,0,43.9
2021-04-18T00:00:00.000Z,7011,5360540,57.64,7392,4990153,53.66,0,0,0,56.22,0,43.78
2021-04-19T00:00:00.000Z,6285,5366825,57.71,7038,4997191,53.74,0,0,0,56.33,0,43.67
