date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new,count_ecmo
2020-03-02T00:00:00.000Z,3,10,10,0,0,10,0,0,3083,0.003243593902043464,5429,-149,0,0,0,0,0,0,
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,3083,0.003243593902043464,7589,-146,0,0,0,0,0,0,
2020-03-04T00:00:00.000Z,3,12,11,0,0,12,0,0,3083,0.003892312682452157,6755,-147,0,0,0,0,0,0,
2020-03-05T00:00:00.000Z,2,13,13,1,0,12,0,0,3083,0.004216672072656504,6836,-140,0,0,0,0,1,1,0
2020-03-06T00:00:00.000Z,3,16,16,2,0,14,1,0,3083,0.005189750243269542,4978,-139,0,1,0,0,2,1,0
2020-03-07T00:00:00.000Z,3,19,19,3,0,16,2,0,3083,0.006162828413882582,4682,-138,0,2,0,0,3,1,0
2020-03-08T00:00:00.000Z,8,26,26,5,0,21,4,0,3083,0.008433344145313007,7075,-136,0,4,0,0,5,2,
2020-03-09T00:00:00.000Z,16,40,40,5,0,35,4,0,3083,0.01297437560817386,6009,-146,0,4,0,0,5,0,0
2020-03-10T00:00:00.000Z,19,61,61,6,0,55,5,0,3083,0.01978592280246513,5803,-134,0,5,0,0,6,1,0
2020-03-11T00:00:00.000Z,25,84,83,7,1,76,6,0,3083,0.0272461887771651,5719,-137,0,6,0,0,7,1,0
2020-03-12T00:00:00.000Z,23,107,104,7,1,99,6,0,3083,0.03470645475186507,5769,-136,0,6,0,0,7,0,0
2020-03-13T00:00:00.000Z,23,126,125,7,5,114,6,0,3083,0.04086928316574765,3985,-123,0,6,0,0,7,0,0
2020-03-14T00:00:00.000Z,40,166,164,6,5,155,4,0,3083,0.05384365877392151,3550,-133,0,6,0,0,8,1,0
2020-03-15T00:00:00.000Z,41,205,203,9,7,189,6,0,3083,0.06649367499189102,5336,-132,0,8,0,0,11,3,0
2020-03-16T00:00:00.000Z,24,224,218,11,6,207,7,0,3083,0.07265650340577359,4620,-74,0,9,0,0,13,2,0
2020-03-17T00:00:00.000Z,45,259,259,12,7,240,7,0,3083,0.08400908206292572,4223,-23,0,9,0,0,14,1,0
2020-03-18T00:00:00.000Z,54,312,274,16,12,284,7,0,3083,0.1012001297437561,3764,85,0,9,0,0,18,4,0
2020-03-19T00:00:00.000Z,30,300,269,21,12,267,12,0,3083,0.09730781706130393,3927,222,0,14,0,0,23,5,0
2020-03-20T00:00:00.000Z,30,293,255,23,15,255,12,1,3083,0.0950373013298735,3096,402,0,14,1,0,26,3,0
2020-03-21T00:00:00.000Z,34,284,281,27,22,235,15,0,3083,0.09211806681803439,2791,584,0,17,1,0,30,4,0
2020-03-22T00:00:00.000Z,54,333,314,38,33,262,22,0,3083,0.1080116769380474,4359,798,0,24,1,0,41,11,0
2020-03-23T00:00:00.000Z,58,363,331,44,37,282,24,0,3083,0.1177424586441778,3905,1124,0,28,1,0,48,7,0
2020-03-24T00:00:00.000Z,81,408,354,48,49,311,26,3,3083,0.1323386312033733,3835,1514,0,30,4,0,55,7,0
2020-03-25T00:00:00.000Z,81,428,411,52,54,322,28,1,3083,0.1388258190074603,3533,1874,0,33,5,0,60,5,0
2020-03-26T00:00:00.000Z,81,484,431,56,67,361,31,5,3083,0.1569899448589037,3789,2358,0,39,10,0,69,10,0
2020-03-27T00:00:00.000Z,110,533,483,67,71,395,37,2,3083,0.1728835549789166,3129,2718,0,46,12,0,82,13,0
2020-03-28T00:00:00.000Z,52,528,497,70,83,375,41,1,3083,0.1712617580278949,2721,3170,0,51,13,0,87,5,0
2020-03-29T00:00:00.000Z,69,557,530,80,88,389,50,3,3083,0.180668180343821,4118,3649,0,62,16,0,101,14,0
2020-03-30T00:00:00.000Z,122,634,585,89,105,440,54,1,3083,0.2056438533895556,3750,4111,0,69,17,0,113,13,0
2020-03-31T00:00:00.000Z,109,684,641,99,115,470,64,4,3083,0.2218618228997729,3849,4745,0,81,21,0,128,16,0
2020-04-01T00:00:00.000Z,148,773,731,111,143,519,73,8,3083,0.2507298086279598,3912,5309,0,95,29,0,148,21,0
2020-04-02T00:00:00.000Z,115,818,732,113,145,560,79,9,3083,0.2653259811871554,4149,5944,0,106,38,0,160,12,0
2020-04-03T00:00:00.000Z,98,816,727,131,159,526,93,5,3083,0.2646772624067467,3373,6488,0,126,43,1,182,24,1
2020-04-04T00:00:00.000Z,71,790,752,140,170,480,107,6,3083,0.2562439182614337,3031,6832,0,143,49,1,197,17,1
2020-04-05T00:00:00.000Z,99,826,738,135,193,498,107,7,3083,0.2679208563087902,4356,7322,0,150,56,1,203,6,1
2020-04-06T00:00:00.000Z,93,807,694,147,208,452,110,8,3083,0.2617580278949075,3937,7688,0,164,64,1,223,21,1
2020-04-07T00:00:00.000Z,73,749,657,160,204,385,106,8,3083,0.2429451832630555,4155,7973,0,171,72,2,241,18,1
2020-04-08T00:00:00.000Z,58,697,619,166,196,335,115,8,3083,0.2260784949724295,3369,8236,0,178,80,1,258,22,1
2020-04-09T00:00:00.000Z,64,671,637,166,189,316,117,9,3083,0.2176451508271164,3232,8438,0,185,89,1,274,19,1
2020-04-10T00:00:00.000Z,55,677,605,170,173,334,128,8,3083,0.2195913071683425,3947,8691,0,196,97,1,284,13,1
2020-04-11T00:00:00.000Z,40,632,600,182,163,287,130,6,3083,0.2049951346091469,3084,8911,0,205,103,1,308,26,1
2020-04-12T00:00:00.000Z,90,675,627,177,175,323,130,6,3083,0.2189425883879338,4797,9171,0,212,109,1,326,21,1
2020-04-13T00:00:00.000Z,91,701,635,192,169,340,137,9,3083,0.2273759325332468,4515,9310,0,224,118,1,352,34,1
2020-04-14T00:00:00.000Z,70,690,641,178,173,339,134,8,3083,0.223807979240999,4209,9402,0,228,126,1,359,8,1
2020-04-15T00:00:00.000Z,69,697,670,179,175,343,133,13,3083,0.2260784949724295,3368,9385,0,241,139,1,380,26,1
2020-04-16T00:00:00.000Z,51,708,645,182,163,363,137,7,3083,0.2296464482646773,5208,9371,0,251,146,1,393,19,1
2020-04-17T00:00:00.000Z,48,673,618,165,163,345,124,9,3083,0.2182938696075251,4060,9329,0,254,155,1,401,13,1
2020-04-18T00:00:00.000Z,41,644,616,174,141,329,118,11,3083,0.2088874472915991,3696,9359,0,260,166,1,417,28,1
2020-04-19T00:00:00.000Z,40,630,579,157,148,325,118,8,3083,0.2043464158287383,5597,9281,0,267,174,1,425,8,2
2020-04-20T00:00:00.000Z,49,607,550,154,135,318,123,6,3083,0.1968861498540383,4910,9152,0,276,180,2,430,11,3
2020-04-21T00:00:00.000Z,27,553,515,145,146,262,119,10,3083,0.1793707427830036,4731,9083,0,279,190,3,436,8,4
2020-04-22T00:00:00.000Z,36,530,493,149,122,259,110,3,3083,0.1719104768083036,4648,8937,0,279,193,3,444,10,5
2020-04-23T00:00:00.000Z,32,500,448,146,106,248,115,4,3083,0.1621796951021732,5175,8922,0,283,197,3,449,11,5
2020-04-24T00:00:00.000Z,26,469,443,144,109,216,110,3,3083,0.1521245540058385,4255,8836,0,287,200,3,456,9,5
2020-04-25T00:00:00.000Z,8,442,427,136,105,201,107,3,3083,0.1433668504703211,3527,8632,0,288,203,3,459,7,5
2020-04-26T00:00:00.000Z,32,438,410,142,91,205,111,2,3083,0.1420694129095037,5560,8297,0,292,205,3,466,10,4
2020-04-27T00:00:00.000Z,21,415,380,132,89,194,101,4,3083,0.1346091469348038,5124,7981,0,293,209,3,468,3,4
2020-04-28T00:00:00.000Z,28,395,368,127,85,183,100,5,3083,0.1281219591307168,4682,7584,0,296,214,3,472,6,5
