name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
גבעת אבני,4.5,ירוק,19.2,0.0216216216216,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,87.36,83.27,66.06,
כסרא-סמיע,2.1,ירוק,1.1,0.0065359477124,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,70.36,59.21,32.47,
חורה,4.2,ירוק,7.4,0.0330097087378,0,34,ירוק,2021-12-22T00:00:00.000Z,24.29,20.18,7.51,14.7
שוהם,3.7,ירוק,6.2,0.0095940959409,0.3,16,ירוק,2021-12-22T00:00:00.000Z,מעל 90%,85.09,69.7,7.6
אלעד,6.9,צהוב,13.6,0.0336345381526,0.675,92,כתום,2021-12-22T00:00:00.000Z,37.03,27.20,13.58,18.7
לפיד,4.2,ירוק,12.8,0.0157068062827,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,89.30,84.05,69.21,
מתן,2.4,ירוק,5.5,0.0087336244541,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,82.29,76.78,61.82,
בת חפר,2.2,ירוק,3.8,0.0063897763578,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,87.10,83.12,66.09,
"בסמ""ה",3.4,ירוק,3.9,0.005291005291,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,66.10,56.65,30.36,
מעלה עירון,2.3,ירוק,2.0,0.0031152647975,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,60.48,50.03,25.65,
אחוזת ברק,2.2,ירוק,4.2,0.0059171597633,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,85.74,79.65,61.18,
נוף איילון,4.1,ירוק,4.8,0.0051282051282,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,מעל 90%,88.14,70.38,
שמשית,2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,מעל 90%,87.41,71.56,0.0
צור יצחק,2.4,ירוק,1.5,0.003144654088,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,67.32,60.67,47.73,
קצר א-סר,5.1,ירוק,27.1,0.1186440677966,0,16,צהוב,2021-12-22T00:00:00.000Z,14.90,13.74,5.42,61.9
ביר הדאג',2,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,3.24,2.54,0.83,
