date,amount,amountVirusDiagnosis,amountPersonTested,amountMagen,positiveAmount,positiveRate,positiveRatePCR,positiveRateAntigen
2020-02-20T00:00:00.000Z,29,29,28,0,0,0,0,
2020-02-21T00:00:00.000Z,28,28,28,0,1,3.57,3.57,
2020-02-22T00:00:00.000Z,13,13,13,0,0,0,0,
2020-02-23T00:00:00.000Z,56,56,56,0,0,0,0,
2020-02-24T00:00:00.000Z,75,74,71,0,1,1.41,1.41,
2020-02-25T00:00:00.000Z,108,108,108,0,0,0,0,
2020-02-26T00:00:00.000Z,108,108,107,0,0,0,0,
2020-02-27T00:00:00.000Z,171,171,139,0,2,0.72,0.72,
2020-02-28T00:00:00.000Z,118,118,118,0,3,2.54,2.54,
2020-02-29T00:00:00.000Z,158,158,158,0,0,0,0,
2020-03-01T00:00:00.000Z,187,178,160,0,2,0.63,0.63,
2020-03-02T00:00:00.000Z,171,170,170,0,5,2.94,2.94,
2020-03-03T00:00:00.000Z,235,227,226,0,3,1.33,1.33,
2020-03-04T00:00:00.000Z,129,128,127,0,0,0,0,
2020-03-05T00:00:00.000Z,173,165,163,0,15,5.52,5.52,
2020-03-06T00:00:00.000Z,274,274,273,0,5,1.47,1.47,
2020-03-07T00:00:00.000Z,336,324,322,0,4,1.24,1.24,
2020-03-08T00:00:00.000Z,421,417,407,0,11,2.21,2.21,
2020-03-09T00:00:00.000Z,518,515,509,0,6,0.79,0.79,
2020-03-10T00:00:00.000Z,520,495,487,1,37,6.78,6.78,
2020-03-11T00:00:00.000Z,401,376,370,0,21,5.14,5.14,
2020-03-12T00:00:00.000Z,607,594,586,0,23,3.75,3.75,
2020-03-13T00:00:00.000Z,694,689,685,0,36,5.11,5.11,
2020-03-14T00:00:00.000Z,614,611,603,0,32,4.81,4.81,
2020-03-15T00:00:00.000Z,1183,1125,997,0,46,4.01,4.01,
2020-03-16T00:00:00.000Z,1344,1320,1240,0,81,5.89,5.89,
2020-03-17T00:00:00.000Z,1646,1565,1471,1,99,6.39,6.39,
2020-03-18T00:00:00.000Z,2106,1990,1931,0,128,6.47,6.47,
2020-03-19T00:00:00.000Z,2076,1983,1879,0,145,7.24,7.24,
2020-03-20T00:00:00.000Z,2317,2231,2202,0,185,7.63,7.63,
