date,cases,recovered,tests,positiveRate,positiveRatePCR,positiveRateAntigen,severe,medium,mild,deaths,severe_new,medium_new,mild_new,critical,ventilated,ecmo
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.0,0.0,28.0,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,1.0,0.0,71.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,1.0,0.0,139.0,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,3.0,0.0,118.0,2.54,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,160.0,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,5.0,0.0,170.0,2.94,2.94,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-03,3.0,0.0,226.0,1.33,1.33,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-05,9.0,0.0,163.0,5.52,5.52,0.0,1.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,4.0,0.0,273.0,1.47,1.47,0.0,2.0,0.0,14.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
2020-03-07,4.0,0.0,322.0,1.24,1.24,0.0,3.0,0.0,16.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-08,9.0,0.0,407.0,2.21,2.21,0.0,5.0,0.0,21.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
2020-03-09,4.0,0.0,509.0,0.79,0.79,0.0,5.0,0.0,35.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-03-10,33.0,0.0,487.0,6.78,6.78,0.0,6.0,0.0,55.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0
2020-03-11,19.0,0.0,370.0,5.14,5.14,0.0,7.0,1.0,76.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0
2020-03-12,22.0,0.0,586.0,3.75,3.75,0.0,7.0,1.0,99.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
2020-03-13,35.0,1.0,685.0,5.11,5.11,0.0,7.0,5.0,114.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0
2020-03-14,29.0,0.0,603.0,4.81,4.81,0.0,6.0,5.0,155.0,0.0,1.0,0.0,42.0,0.0,0.0,0.0
2020-03-15,40.0,0.0,997.0,4.01,4.01,0.0,9.0,7.0,189.0,0.0,3.0,3.0,36.0,0.0,0.0,0.0
2020-03-16,73.0,0.0,1240.0,5.89,5.89,0.0,11.0,6.0,207.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0
2020-03-17,94.0,2.0,1471.0,6.39,6.39,0.0,12.0,7.0,243.0,0.0,1.0,1.0,46.0,0.0,0.0,0.0
2020-03-18,125.0,2.0,1931.0,6.47,6.47,0.0,16.0,12.0,287.0,0.0,4.0,5.0,46.0,0.0,0.0,0.0
2020-03-19,136.0,4.0,1879.0,7.24,7.24,0.0,21.0,12.0,270.0,0.0,5.0,1.0,24.0,0.0,0.0,0.0
2020-03-20,168.0,1.0,2202.0,7.63,7.63,0.0,23.0,15.0,258.0,1.0,3.0,3.0,24.0,0.0,0.0,0.0
2020-03-21,209.0,0.0,2028.0,10.31,10.31,0.0,27.0,22.0,238.0,0.0,4.0,7.0,24.0,0.0,0.0,0.0
2020-03-22,252.0,5.0,3030.0,8.32,8.32,0.0,38.0,33.0,265.0,0.0,11.0,12.0,33.0,0.0,0.0,0.0
