day_date,flue_vaccinations_amount_cum
2021-09-02T00:00:00.000Z,2
2021-09-03T00:00:00.000Z,3
2021-09-04T00:00:00.000Z,4
2021-09-05T00:00:00.000Z,7
2021-09-06T00:00:00.000Z,9
2021-09-08T00:00:00.000Z,10
2021-09-09T00:00:00.000Z,188
2021-09-10T00:00:00.000Z,380
2021-09-11T00:00:00.000Z,462
2021-09-12T00:00:00.000Z,4915
2021-09-13T00:00:00.000Z,12980
2021-09-14T00:00:00.000Z,23737
2021-09-15T00:00:00.000Z,28510
2021-09-16T00:00:00.000Z,29364
2021-09-17T00:00:00.000Z,34090
2021-09-18T00:00:00.000Z,35059
2021-09-19T00:00:00.000Z,51245
2021-09-20T00:00:00.000Z,58921
2021-09-21T00:00:00.000Z,61086
2021-09-22T00:00:00.000Z,71400
2021-09-23T00:00:00.000Z,84332
2021-09-24T00:00:00.000Z,90331
2021-09-25T00:00:00.000Z,91319
2021-09-26T00:00:00.000Z,107332
2021-09-27T00:00:00.000Z,117787
2021-09-28T00:00:00.000Z,120269
2021-09-29T00:00:00.000Z,138195
2021-09-30T00:00:00.000Z,159260
2021-10-01T00:00:00.000Z,167190
2021-10-02T00:00:00.000Z,168575
2021-10-03T00:00:00.000Z,197162
2021-10-04T00:00:00.000Z,221957
2021-10-05T00:00:00.000Z,248217
2021-10-06T00:00:00.000Z,268874
2021-10-07T00:00:00.000Z,295162
2021-10-08T00:00:00.000Z,305987
2021-10-09T00:00:00.000Z,307618
2021-10-10T00:00:00.000Z,339397
2021-10-11T00:00:00.000Z,364125
2021-10-12T00:00:00.000Z,389880
2021-10-13T00:00:00.000Z,408132
2021-10-14T00:00:00.000Z,429855
2021-10-15T00:00:00.000Z,437674
2021-10-16T00:00:00.000Z,438963
2021-10-17T00:00:00.000Z,464392
2021-10-18T00:00:00.000Z,483003
2021-10-19T00:00:00.000Z,502623
2021-10-20T00:00:00.000Z,517721
2021-10-21T00:00:00.000Z,535788
2021-10-22T00:00:00.000Z,541873
2021-10-23T00:00:00.000Z,542744
2021-10-24T00:00:00.000Z,562816
2021-10-25T00:00:00.000Z,578877
2021-10-26T00:00:00.000Z,595574
2021-10-27T00:00:00.000Z,606984
2021-10-28T00:00:00.000Z,611094
2021-10-29T00:00:00.000Z,611550
2021-10-30T00:00:00.000Z,611635
2021-10-31T00:00:00.000Z,613450
2021-11-01T00:00:00.000Z,615040
2021-11-02T00:00:00.000Z,616492
2021-11-03T00:00:00.000Z,617591
2021-11-04T00:00:00.000Z,618696
2021-11-05T00:00:00.000Z,619120
2021-11-06T00:00:00.000Z,619224
2021-11-07T00:00:00.000Z,620184
2021-11-08T00:00:00.000Z,620937
2021-11-09T00:00:00.000Z,621700
2021-11-10T00:00:00.000Z,622505
2021-11-11T00:00:00.000Z,623296
2021-11-12T00:00:00.000Z,623588
