section,female,male,period,order_period
0-9,"{'amount': 54, 'percentage': 0.2}","{'amount': 89, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 17, 'percentage': 0.4}","{'amount': 30, 'percentage': 0.8}",חודש אחרון,5
0-9,"{'amount': 20, 'percentage': 0.5}","{'amount': 32, 'percentage': 0.8}",3 חודשים,4
0-9,"{'amount': 33, 'percentage': 0.4}","{'amount': 58, 'percentage': 0.7}",6 חודשים,3
0-9,"{'amount': 45, 'percentage': 0.3}","{'amount': 69, 'percentage': 0.5}",שנה,2
10-19,"{'amount': 12, 'percentage': 0.3}","{'amount': 18, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 40, 'percentage': 0.3}","{'amount': 42, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 9, 'percentage': 0.2}","{'amount': 14, 'percentage': 0.4}",חודש אחרון,5
10-19,"{'amount': 62, 'percentage': 0.2}","{'amount': 63, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 24, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.3}",6 חודשים,3
20-29,"{'amount': 13, 'percentage': 0.3}","{'amount': 22, 'percentage': 0.6}",חודש אחרון,5
20-29,"{'amount': 83, 'percentage': 1}","{'amount': 70, 'percentage': 0.8}",6 חודשים,3
20-29,"{'amount': 22, 'percentage': 0.5}","{'amount': 26, 'percentage': 0.6}",3 חודשים,4
20-29,"{'amount': 245, 'percentage': 0.9}","{'amount': 203, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 147, 'percentage': 1.1}","{'amount': 136, 'percentage': 1}",שנה,2
30-39,"{'amount': 39, 'percentage': 1}","{'amount': 33, 'percentage': 0.9}",חודש אחרון,5
30-39,"{'amount': 52, 'percentage': 1.2}","{'amount': 42, 'percentage': 1}",3 חודשים,4
30-39,"{'amount': 188, 'percentage': 2.2}","{'amount': 180, 'percentage': 2.1}",6 חודשים,3
30-39,"{'amount': 348, 'percentage': 2.6}","{'amount': 335, 'percentage': 2.5}",שנה,2
30-39,"{'amount': 542, 'percentage': 2.1}","{'amount': 561, 'percentage': 2.1}",מתחילת קורונה,1
40-49,"{'amount': 509, 'percentage': 3.8}","{'amount': 688, 'percentage': 5.2}",שנה,2
40-49,"{'amount': 279, 'percentage': 3.2}","{'amount': 374, 'percentage': 4.3}",6 חודשים,3
40-49,"{'amount': 60, 'percentage': 1.4}","{'amount': 98, 'percentage': 2.3}",3 חודשים,4
40-49,"{'amount': 48, 'percentage': 1.3}","{'amount': 74, 'percentage': 1.9}",חודש אחרון,5
40-49,"{'amount': 874, 'percentage': 3.3}","{'amount': 1284, 'percentage': 4.9}",מתחילת קורונה,1
50-59,"{'amount': 1446, 'percentage': 5.5}","{'amount': 2104, 'percentage': 8}",מתחילת קורונה,1
50-59,"{'amount': 118, 'percentage': 3.1}","{'amount': 179, 'percentage': 4.7}",חודש אחרון,5
50-59,"{'amount': 142, 'percentage': 3.4}","{'amount': 201, 'percentage': 4.8}",3 חודשים,4
50-59,"{'amount': 421, 'percentage': 4.8}","{'amount': 580, 'percentage': 6.7}",6 חודשים,3
50-59,"{'amount': 756, 'percentage': 5.7}","{'amount': 983, 'percentage': 7.4}",שנה,2
60-69,"{'amount': 263, 'percentage': 6.3}","{'amount': 378, 'percentage': 9}",3 חודשים,4
60-69,"{'amount': 2035, 'percentage': 7.7}","{'amount': 3018, 'percentage': 11.5}",מתחילת קורונה,1
60-69,"{'amount': 235, 'percentage': 6.2}","{'amount': 336, 'percentage': 8.8}",חודש אחרון,5
60-69,"{'amount': 638, 'percentage': 7.3}","{'amount': 858, 'percentage': 9.9}",6 חודשים,3
60-69,"{'amount': 1033, 'percentage': 7.7}","{'amount': 1323, 'percentage': 9.9}",שנה,2
70-79,"{'amount': 436, 'percentage': 10.4}","{'amount': 581, 'percentage': 13.8}",3 חודשים,4
70-79,"{'amount': 1284, 'percentage': 9.6}","{'amount': 1558, 'percentage': 11.7}",שנה,2
70-79,"{'amount': 394, 'percentage': 10.3}","{'amount': 542, 'percentage': 14.2}",חודש אחרון,5
70-79,"{'amount': 2491, 'percentage': 9.5}","{'amount': 3406, 'percentage': 13}",מתחילת קורונה,1
70-79,"{'amount': 846, 'percentage': 9.7}","{'amount': 1076, 'percentage': 12.4}",6 חודשים,3
80-89,"{'amount': 1065, 'percentage': 12.2}","{'amount': 1025, 'percentage': 11.8}",6 חודשים,3
80-89,"{'amount': 638, 'percentage': 15.2}","{'amount': 617, 'percentage': 14.7}",3 חודשים,4
80-89,"{'amount': 604, 'percentage': 15.8}","{'amount': 576, 'percentage': 15.1}",חודש אחרון,5
80-89,"{'amount': 1504, 'percentage': 11.3}","{'amount': 1396, 'percentage': 10.5}",שנה,2
80-89,"{'amount': 2821, 'percentage': 10.7}","{'amount': 2735, 'percentage': 10.4}",מתחילת קורונה,1
90+,"{'amount': 703, 'percentage': 5.3}","{'amount': 437, 'percentage': 3.3}",שנה,2
90+,"{'amount': 545, 'percentage': 6.3}","{'amount': 336, 'percentage': 3.9}",6 חודשים,3
90+,"{'amount': 334, 'percentage': 8}","{'amount': 223, 'percentage': 5.3}",3 חודשים,4
90+,"{'amount': 313, 'percentage': 8.2}","{'amount': 219, 'percentage': 5.7}",חודש אחרון,5
90+,"{'amount': 1374, 'percentage': 5.2}","{'amount': 894, 'percentage': 3.4}",מתחילת קורונה,1
