section,male,female,period,order_period
0-9,"{'amount': 13, 'percentage': 1.2}","{'amount': 7, 'percentage': 0.7}",3 חודשים,4
0-9,"{'amount': 11, 'percentage': 1.3}","{'amount': 7, 'percentage': 0.8}",חודש אחרון,5
0-9,"{'amount': 28, 'percentage': 0.5}","{'amount': 14, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 20, 'percentage': 0.7}","{'amount': 11, 'percentage': 0.4}",שנה,2
0-9,"{'amount': 18, 'percentage': 1}","{'amount': 7, 'percentage': 0.4}",6 חודשים,3
10-19,"{'amount': 14, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.6}",שנה,2
10-19,"{'amount': 8, 'percentage': 0.9}","{'amount': 6, 'percentage': 0.7}",חודש אחרון,5
10-19,"{'amount': 8, 'percentage': 0.8}","{'amount': 7, 'percentage': 0.7}",3 חודשים,4
10-19,"{'amount': 13, 'percentage': 0.7}","{'amount': 12, 'percentage': 0.7}",6 חודשים,3
10-19,"{'amount': 22, 'percentage': 0.4}","{'amount': 19, 'percentage': 0.3}",מתחילת קורונה,1
20-29,"{'amount': 21, 'percentage': 1.2}","{'amount': 15, 'percentage': 0.8}",6 חודשים,3
20-29,"{'amount': 51, 'percentage': 0.9}","{'amount': 55, 'percentage': 1}",מתחילת קורונה,1
20-29,"{'amount': 8, 'percentage': 0.9}","{'amount': 9, 'percentage': 1}",חודש אחרון,5
20-29,"{'amount': 11, 'percentage': 1}","{'amount': 11, 'percentage': 1}",3 חודשים,4
20-29,"{'amount': 36, 'percentage': 1.3}","{'amount': 24, 'percentage': 0.9}",שנה,2
30-39,"{'amount': 93, 'percentage': 1.6}","{'amount': 89, 'percentage': 1.6}",מתחילת קורונה,1
30-39,"{'amount': 35, 'percentage': 1.9}","{'amount': 28, 'percentage': 1.6}",6 חודשים,3
30-39,"{'amount': 15, 'percentage': 1.7}","{'amount': 7, 'percentage': 0.8}",חודש אחרון,5
30-39,"{'amount': 54, 'percentage': 2}","{'amount': 55, 'percentage': 2}",שנה,2
30-39,"{'amount': 21, 'percentage': 2}","{'amount': 11, 'percentage': 1}",3 חודשים,4
40-49,"{'amount': 239, 'percentage': 4.2}","{'amount': 138, 'percentage': 2.4}",מתחילת קורונה,1
40-49,"{'amount': 27, 'percentage': 3.1}","{'amount': 15, 'percentage': 1.7}",חודש אחרון,5
40-49,"{'amount': 44, 'percentage': 4.1}","{'amount': 20, 'percentage': 1.9}",3 חודשים,4
40-49,"{'amount': 139, 'percentage': 5.2}","{'amount': 75, 'percentage': 2.8}",שנה,2
40-49,"{'amount': 84, 'percentage': 4.7}","{'amount': 45, 'percentage': 2.5}",6 חודשים,3
50-59,"{'amount': 163, 'percentage': 9.1}","{'amount': 89, 'percentage': 4.9}",6 חודשים,3
50-59,"{'amount': 520, 'percentage': 9.1}","{'amount': 250, 'percentage': 4.4}",מתחילת קורונה,1
50-59,"{'amount': 69, 'percentage': 7.9}","{'amount': 41, 'percentage': 4.7}",חודש אחרון,5
50-59,"{'amount': 89, 'percentage': 8.4}","{'amount': 51, 'percentage': 4.8}",3 חודשים,4
50-59,"{'amount': 253, 'percentage': 9.4}","{'amount': 146, 'percentage': 5.4}",שנה,2
60-69,"{'amount': 221, 'percentage': 12.3}","{'amount': 163, 'percentage': 9.1}",6 חודשים,3
60-69,"{'amount': 341, 'percentage': 12.7}","{'amount': 241, 'percentage': 9}",שנה,2
60-69,"{'amount': 875, 'percentage': 15.3}","{'amount': 463, 'percentage': 8.1}",מתחילת קורונה,1
60-69,"{'amount': 97, 'percentage': 11.1}","{'amount': 61, 'percentage': 7}",חודש אחרון,5
60-69,"{'amount': 120, 'percentage': 11.3}","{'amount': 74, 'percentage': 6.9}",3 חודשים,4
70-79,"{'amount': 160, 'percentage': 15}","{'amount': 101, 'percentage': 9.5}",3 חודשים,4
70-79,"{'amount': 138, 'percentage': 15.8}","{'amount': 84, 'percentage': 9.6}",חודש אחרון,5
70-79,"{'amount': 982, 'percentage': 17.2}","{'amount': 551, 'percentage': 9.6}",מתחילת קורונה,1
70-79,"{'amount': 379, 'percentage': 14.1}","{'amount': 275, 'percentage': 10.2}",שנה,2
70-79,"{'amount': 252, 'percentage': 14}","{'amount': 189, 'percentage': 10.5}",6 חודשים,3
80-89,"{'amount': 191, 'percentage': 10.6}","{'amount': 163, 'percentage': 9.1}",6 חודשים,3
80-89,"{'amount': 261, 'percentage': 9.7}","{'amount': 229, 'percentage': 8.5}",שנה,2
80-89,"{'amount': 109, 'percentage': 12.5}","{'amount': 102, 'percentage': 11.7}",חודש אחרון,5
80-89,"{'amount': 130, 'percentage': 12.2}","{'amount': 118, 'percentage': 11.1}",3 חודשים,4
80-89,"{'amount': 609, 'percentage': 10.7}","{'amount': 462, 'percentage': 8.1}",מתחילת קורונה,1
90+,"{'amount': 29, 'percentage': 3.3}","{'amount': 29, 'percentage': 3.3}",חודש אחרון,5
90+,"{'amount': 44, 'percentage': 2.4}","{'amount': 46, 'percentage': 2.6}",6 חודשים,3
90+,"{'amount': 57, 'percentage': 2.1}","{'amount': 62, 'percentage': 2.3}",שנה,2
90+,"{'amount': 131, 'percentage': 2.3}","{'amount': 126, 'percentage': 2.2}",מתחילת קורונה,1
90+,"{'amount': 34, 'percentage': 3.2}","{'amount': 35, 'percentage': 3.3}",3 חודשים,4
