dayDate,ageGroup,verified,verifiedNormalized,avgVerifiedAmount7Days
2020-03-11T00:00:00.000Z,0-4,0,0,0
2020-03-11T00:00:00.000Z,5-11,1,0.08,0
2020-03-11T00:00:00.000Z,12-15,0,0,0
2020-03-11T00:00:00.000Z,16-19,0,0,0
2020-03-12T00:00:00.000Z,0-4,1,0.13,0
2020-03-12T00:00:00.000Z,5-11,1,0.08,0
2020-03-12T00:00:00.000Z,12-15,1,0.16,0
2020-03-12T00:00:00.000Z,16-19,0,0,0
2020-03-13T00:00:00.000Z,0-4,0,0,0
2020-03-13T00:00:00.000Z,5-11,0,0,0
2020-03-13T00:00:00.000Z,12-15,0,0,0
2020-03-13T00:00:00.000Z,16-19,0,0,0
2020-03-14T00:00:00.000Z,0-4,0,0,0
2020-03-14T00:00:00.000Z,5-11,2,0.16,0
2020-03-14T00:00:00.000Z,12-15,0,0,0
2020-03-14T00:00:00.000Z,16-19,0,0,0
2020-03-15T00:00:00.000Z,0-4,1,0.13,0
2020-03-15T00:00:00.000Z,5-11,0,0,0
2020-03-15T00:00:00.000Z,12-15,0,0,0
2020-03-15T00:00:00.000Z,16-19,0,0,0
2020-03-16T00:00:00.000Z,0-4,0,0,0
2020-03-16T00:00:00.000Z,5-11,1,0.08,0
2020-03-16T00:00:00.000Z,12-15,0,0,0
2020-03-16T00:00:00.000Z,16-19,0,0,0
2020-03-17T00:00:00.000Z,0-4,2,0.25,0
2020-03-17T00:00:00.000Z,5-11,2,0.16,1
2020-03-17T00:00:00.000Z,12-15,1,0.16,0
2020-03-17T00:00:00.000Z,16-19,1,0.17,0
2020-03-18T00:00:00.000Z,0-4,3,0.38,1
2020-03-18T00:00:00.000Z,5-11,4,0.32,1
2020-03-18T00:00:00.000Z,12-15,3,0.47,0
2020-03-18T00:00:00.000Z,16-19,2,0.34,0
2020-03-19T00:00:00.000Z,0-4,2,0.25,1
2020-03-19T00:00:00.000Z,5-11,0,0,1
2020-03-19T00:00:00.000Z,12-15,1,0.16,0
2020-03-19T00:00:00.000Z,16-19,6,1.01,1
2020-03-20T00:00:00.000Z,0-4,2,0.25,1
2020-03-20T00:00:00.000Z,5-11,3,0.24,1
2020-03-20T00:00:00.000Z,12-15,0,0,0
2020-03-20T00:00:00.000Z,16-19,7,1.18,2
2020-03-21T00:00:00.000Z,0-4,1,0.13,1
2020-03-21T00:00:00.000Z,5-11,1,0.08,1
2020-03-21T00:00:00.000Z,12-15,1,0.16,0
2020-03-21T00:00:00.000Z,16-19,9,1.52,3
2020-03-22T00:00:00.000Z,0-4,6,0.76,2
2020-03-22T00:00:00.000Z,5-11,4,0.32,2
