gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,6 חודשים,296622,11.7,5,0.2,19,1.1,58,0.7
זכר,0-9,שנה,335478,11.8,5,0.1,21,0.8,75,0.6
זכר,0-9,3 חודשים,253435,11.2,4,0.2,14,1.3,42,0.8
זכר,0-9,מתחילת קורונה,396370,11,7,0.1,28,0.5,100,0.4
זכר,0-9,חודש אחרון,111061,13.1,2,0.1,12,1.4,25,0.7
נקבה,0-9,מתחילת קורונה,303498,8.4,4,0,14,0.2,63,0.2
נקבה,0-9,6 חודשים,220741,8.7,1,0,7,0.4,38,0.4
נקבה,0-9,3 חודשים,182926,8.1,1,0,7,0.6,29,0.5
נקבה,0-9,שנה,253678,9,2,0,9,0.3,53,0.4
נקבה,0-9,חודש אחרון,75819,8.9,0,0,6,0.7,20,0.6
זכר,10-19,3 חודשים,249270,11,4,0.2,9,0.8,23,0.4
זכר,10-19,שנה,310704,11,5,0.1,15,0.6,44,0.3
זכר,10-19,מתחילת קורונה,400842,11.1,7,0.1,23,0.4,70,0.3
זכר,10-19,6 חודשים,278824,11,5,0.2,14,0.8,33,0.4
זכר,10-19,חודש אחרון,92770,10.9,2,0.1,8,1,12,0.3
נקבה,10-19,שנה,289481,10.2,4,0.1,15,0.6,37,0.3
נקבה,10-19,חודש אחרון,77484,9.1,1,0.1,6,0.7,7,0.2
נקבה,10-19,3 חודשים,229469,10.1,2,0.1,8,0.7,14,0.3
נקבה,10-19,6 חודשים,259462,10.3,3,0.1,13,0.7,25,0.3
נקבה,10-19,מתחילת קורונה,366254,10.2,7,0.1,20,0.3,62,0.2
זכר,20-29,6 חודשים,135963,5.4,5,0.2,18,1,66,0.8
זכר,20-29,מתחילת קורונה,223583,6.2,24,0.2,49,0.9,207,0.7
זכר,20-29,3 חודשים,122564,5.4,2,0.1,9,0.8,32,0.6
זכר,20-29,חודש אחרון,38234,4.5,1,0.1,6,0.7,18,0.5
זכר,20-29,שנה,155816,5.5,10,0.2,33,1.2,119,0.9
נקבה,20-29,6 חודשים,205666,8.1,7,0.2,15,0.8,70,0.8
נקבה,20-29,שנה,230730,8.1,9,0.2,22,0.8,119,0.9
נקבה,20-29,חודש אחרון,59388,7,4,0.3,9,1.1,10,0.3
נקבה,20-29,3 חודשים,186965,8.2,5,0.2,12,1.1,23,0.4
נקבה,20-29,מתחילת קורונה,308158,8.6,21,0.2,54,0.9,247,0.9
זכר,30-39,שנה,161627,5.7,27,0.6,52,2,276,2.1
זכר,30-39,חודש אחרון,48348,5.7,4,0.3,17,2.1,29,0.8
זכר,30-39,מתחילת קורונה,211485,5.9,50,0.5,94,1.6,568,2.1
זכר,30-39,3 חודשים,129395,5.7,7,0.3,22,2,47,0.9
זכר,30-39,6 חודשים,142914,5.7,17,0.6,36,2,160,1.9
נקבה,30-39,6 חודשים,221614,8.8,12,0.4,26,1.5,152,1.8
נקבה,30-39,שנה,246452,8.7,18,0.4,55,2.1,286,2.2
נקבה,30-39,3 חודשים,200629,8.8,4,0.2,9,0.8,53,1
נקבה,30-39,חודש אחרון,75530,8.9,4,0.3,6,0.7,28,0.8
נקבה,30-39,מתחילת קורונה,303508,8.4,35,0.3,91,1.6,546,2
זכר,40-49,6 חודשים,130913,5.2,41,1.3,83,4.7,334,3.9
זכר,40-49,מתחילת קורונה,188854,5.2,115,1.1,241,4.2,1309,4.7
זכר,40-49,חודש אחרון,45553,5.4,8,0.6,26,3.1,76,2.1
זכר,40-49,3 חודשים,120783,5.3,15,0.7,44,4,124,2.3
זכר,40-49,שנה,146900,5.2,62,1.4,134,5.1,597,4.6
נקבה,40-49,3 חודשים,180362,7.9,10,0.5,20,1.8,73,1.3
נקבה,40-49,חודש אחרון,68896,8.1,4,0.3,13,1.6,40,1.1
נקבה,40-49,מתחילת קורונה,263963,7.3,74,0.7,138,2.4,895,3.2
נקבה,40-49,6 חודשים,193748,7.7,19,0.6,42,2.4,237,2.8
נקבה,40-49,שנה,213636,7.5,35,0.8,69,2.6,431,3.3
זכר,50-59,3 חודשים,78732,3.5,49,2.4,89,8.1,264,4.8
זכר,50-59,חודש אחרון,28861,3.4,26,1.9,63,7.6,177,4.9
זכר,50-59,מתחילת קורונה,124869,3.5,366,3.6,519,9,2161,7.8
זכר,50-59,שנה,93258,3.3,159,3.6,245,9.3,869,6.7
זכר,50-59,6 חודשים,83375,3.3,101,3.3,159,9,533,6.3
נקבה,50-59,שנה,133230,4.7,94,2.1,140,5.3,665,5.1
נקבה,50-59,6 חודשים,120973,4.8,55,1.8,85,4.8,377,4.4
נקבה,50-59,חודש אחרון,44480,5.2,18,1.3,35,4.2,115,3.2
נקבה,50-59,מתחילת קורונה,169659,4.7,191,1.9,249,4.3,1492,5.4
נקבה,50-59,3 חודשים,114699,5,32,1.6,50,4.5,180,3.3
זכר,60-69,שנה,62375,2.2,378,8.5,337,12.7,1265,9.8
זכר,60-69,6 חודשים,55652,2.2,245,8,220,12.4,809,9.5
זכר,60-69,חודש אחרון,18700,2.2,82,6.1,101,12.2,314,8.7
זכר,60-69,3 חודשים,53079,2.3,128,6.4,128,11.6,484,8.8
זכר,60-69,מתחילת קורונה,84025,2.3,947,9.3,885,15.4,3139,11.4
נקבה,60-69,6 חודשים,77019,3.1,175,5.7,155,8.8,619,7.3
נקבה,60-69,מתחילת קורונה,107235,3,524,5.1,467,8.1,2119,7.7
