dayDate,ageGroup,isolated,isolatedNormalized,avgIsolatedAmount7Days
2020-02-12T00:00:00.000Z,0-4,,,0
2020-02-12T00:00:00.000Z,5-11,,,0
2020-02-12T00:00:00.000Z,12-15,,,0
2020-02-12T00:00:00.000Z,16-19,,,0
2020-02-13T00:00:00.000Z,0-4,,,0
2020-02-13T00:00:00.000Z,5-11,,,0
2020-02-13T00:00:00.000Z,12-15,,,0
2020-02-13T00:00:00.000Z,16-19,,,0
2020-02-14T00:00:00.000Z,0-4,,,0
2020-02-14T00:00:00.000Z,5-11,,,0
2020-02-14T00:00:00.000Z,12-15,,,0
2020-02-14T00:00:00.000Z,16-19,,,0
2020-02-15T00:00:00.000Z,0-4,,,0
2020-02-15T00:00:00.000Z,5-11,,,0
2020-02-15T00:00:00.000Z,12-15,,,0
2020-02-15T00:00:00.000Z,16-19,,,0
2020-02-16T00:00:00.000Z,0-4,,,0
2020-02-16T00:00:00.000Z,5-11,,,1
2020-02-16T00:00:00.000Z,12-15,,,0
2020-02-16T00:00:00.000Z,16-19,,,0
2020-02-17T00:00:00.000Z,0-4,,,0
2020-02-17T00:00:00.000Z,5-11,,,1
2020-02-17T00:00:00.000Z,12-15,,,0
2020-02-17T00:00:00.000Z,16-19,,,0
2020-02-18T00:00:00.000Z,0-4,,,0
2020-02-18T00:00:00.000Z,5-11,,,2
2020-02-18T00:00:00.000Z,12-15,,,1
2020-02-18T00:00:00.000Z,16-19,,,0
2020-02-19T00:00:00.000Z,0-4,,,0
2020-02-19T00:00:00.000Z,5-11,,,2
2020-02-19T00:00:00.000Z,12-15,,,1
2020-02-19T00:00:00.000Z,16-19,,,1
2020-02-20T00:00:00.000Z,0-4,,,1
2020-02-20T00:00:00.000Z,5-11,,,3
2020-02-20T00:00:00.000Z,12-15,,,2
2020-02-20T00:00:00.000Z,16-19,,,1
2020-02-21T00:00:00.000Z,0-4,,,1
2020-02-21T00:00:00.000Z,5-11,,,4
2020-02-21T00:00:00.000Z,12-15,,,4
2020-02-21T00:00:00.000Z,16-19,,,3
2020-02-22T00:00:00.000Z,0-4,,,1
2020-02-22T00:00:00.000Z,5-11,,,5
2020-02-22T00:00:00.000Z,12-15,,,6
2020-02-22T00:00:00.000Z,16-19,,,5
2020-02-23T00:00:00.000Z,0-4,,,1
2020-02-23T00:00:00.000Z,5-11,,,7
2020-02-23T00:00:00.000Z,12-15,,,10
2020-02-23T00:00:00.000Z,16-19,,,21
2020-02-24T00:00:00.000Z,0-4,,,1
2020-02-24T00:00:00.000Z,5-11,,,10
2020-02-24T00:00:00.000Z,12-15,,,15
2020-02-24T00:00:00.000Z,16-19,,,28
2020-02-25T00:00:00.000Z,0-4,,,2
2020-02-25T00:00:00.000Z,5-11,,,12
2020-02-25T00:00:00.000Z,12-15,,,18
2020-02-25T00:00:00.000Z,16-19,,,32
2020-02-26T00:00:00.000Z,0-4,,,3
2020-02-26T00:00:00.000Z,5-11,,,13
2020-02-26T00:00:00.000Z,12-15,,,21
2020-02-26T00:00:00.000Z,16-19,,,35
2020-02-27T00:00:00.000Z,0-4,,,3
2020-02-27T00:00:00.000Z,5-11,,,15
2020-02-27T00:00:00.000Z,12-15,,,23
2020-02-27T00:00:00.000Z,16-19,,,42
2020-02-28T00:00:00.000Z,0-4,,,3
2020-02-28T00:00:00.000Z,5-11,,,19
2020-02-28T00:00:00.000Z,12-15,,,29
2020-02-28T00:00:00.000Z,16-19,,,48
2020-02-29T00:00:00.000Z,0-4,,,4
2020-02-29T00:00:00.000Z,5-11,,,22
2020-02-29T00:00:00.000Z,12-15,,,33
2020-02-29T00:00:00.000Z,16-19,,,54
2020-03-01T00:00:00.000Z,0-4,,,6
2020-03-01T00:00:00.000Z,5-11,,,26
2020-03-01T00:00:00.000Z,12-15,,,36
2020-03-01T00:00:00.000Z,16-19,,,45
2020-03-02T00:00:00.000Z,0-4,,,7
2020-03-02T00:00:00.000Z,5-11,,,28
2020-03-02T00:00:00.000Z,12-15,,,39
2020-03-02T00:00:00.000Z,16-19,,,46
2020-03-03T00:00:00.000Z,0-4,,,7
2020-03-03T00:00:00.000Z,5-11,,,34
2020-03-03T00:00:00.000Z,12-15,,,44
2020-03-03T00:00:00.000Z,16-19,,,51
2020-03-04T00:00:00.000Z,0-4,,,8
2020-03-04T00:00:00.000Z,5-11,,,38
2020-03-04T00:00:00.000Z,12-15,,,47
2020-03-04T00:00:00.000Z,16-19,,,100
2020-03-05T00:00:00.000Z,0-4,,,9
2020-03-05T00:00:00.000Z,5-11,,,39
2020-03-05T00:00:00.000Z,12-15,,,49
2020-03-05T00:00:00.000Z,16-19,,,113
2020-03-06T00:00:00.000Z,0-4,,,9
2020-03-06T00:00:00.000Z,5-11,,,38
2020-03-06T00:00:00.000Z,12-15,,,48
2020-03-06T00:00:00.000Z,16-19,,,115
2020-03-07T00:00:00.000Z,0-4,,,9
2020-03-07T00:00:00.000Z,5-11,,,36
2020-03-07T00:00:00.000Z,12-15,,,45
2020-03-07T00:00:00.000Z,16-19,,,115
2020-03-08T00:00:00.000Z,0-4,,,9
2020-03-08T00:00:00.000Z,5-11,,,35
2020-03-08T00:00:00.000Z,12-15,,,45
2020-03-08T00:00:00.000Z,16-19,,,116
2020-03-09T00:00:00.000Z,0-4,,,9
2020-03-09T00:00:00.000Z,5-11,,,35
2020-03-09T00:00:00.000Z,12-15,,,45
2020-03-09T00:00:00.000Z,16-19,,,123
2020-03-10T00:00:00.000Z,0-4,,,18
2020-03-10T00:00:00.000Z,5-11,,,45
2020-03-10T00:00:00.000Z,12-15,,,59
2020-03-10T00:00:00.000Z,16-19,,,152
2020-03-11T00:00:00.000Z,0-4,,,23
2020-03-11T00:00:00.000Z,5-11,,,80
2020-03-11T00:00:00.000Z,12-15,,,98
2020-03-11T00:00:00.000Z,16-19,,,153
2020-03-12T00:00:00.000Z,0-4,,,29
2020-03-12T00:00:00.000Z,5-11,,,125
2020-03-12T00:00:00.000Z,12-15,,,138
2020-03-12T00:00:00.000Z,16-19,,,188
2020-03-13T00:00:00.000Z,0-4,,,32
2020-03-13T00:00:00.000Z,5-11,,,145
2020-03-13T00:00:00.000Z,12-15,,,166
2020-03-13T00:00:00.000Z,16-19,,,229
2020-03-14T00:00:00.000Z,0-4,,,35
2020-03-14T00:00:00.000Z,5-11,,,160
2020-03-14T00:00:00.000Z,12-15,,,180
2020-03-14T00:00:00.000Z,16-19,,,247
2020-03-15T00:00:00.000Z,0-4,,,43
2020-03-15T00:00:00.000Z,5-11,,,213
2020-03-15T00:00:00.000Z,12-15,,,258
2020-03-15T00:00:00.000Z,16-19,,,335
2020-03-16T00:00:00.000Z,0-4,,,51
2020-03-16T00:00:00.000Z,5-11,,,254
2020-03-16T00:00:00.000Z,12-15,,,287
2020-03-16T00:00:00.000Z,16-19,,,348
2020-03-17T00:00:00.000Z,0-4,,,48
2020-03-17T00:00:00.000Z,5-11,,,288
2020-03-17T00:00:00.000Z,12-15,,,296
2020-03-17T00:00:00.000Z,16-19,,,380
2020-03-18T00:00:00.000Z,0-4,,,59
2020-03-18T00:00:00.000Z,5-11,,,295
2020-03-18T00:00:00.000Z,12-15,,,282
2020-03-18T00:00:00.000Z,16-19,,,367
