section,female,male,period,order_period
0-9,"{'amount': 7, 'percentage': 0.4}","{'amount': 19, 'percentage': 1.1}",6 חודשים,3
0-9,"{'amount': 7, 'percentage': 0.6}","{'amount': 15, 'percentage': 1.3}",3 חודשים,4
0-9,"{'amount': 9, 'percentage': 0.3}","{'amount': 21, 'percentage': 0.8}",שנה,2
0-9,"{'amount': 5, 'percentage': 0.8}","{'amount': 10, 'percentage': 1.6}",חודש אחרון,5
0-9,"{'amount': 15, 'percentage': 0.3}","{'amount': 29, 'percentage': 0.5}",מתחילת קורונה,1
10-19,"{'amount': 3, 'percentage': 0.5}","{'amount': 5, 'percentage': 0.8}",חודש אחרון,5
10-19,"{'amount': 8, 'percentage': 0.7}","{'amount': 8, 'percentage': 0.7}",3 חודשים,4
10-19,"{'amount': 20, 'percentage': 0.3}","{'amount': 22, 'percentage': 0.4}",מתחילת קורונה,1
10-19,"{'amount': 15, 'percentage': 0.6}","{'amount': 14, 'percentage': 0.5}",שנה,2
10-19,"{'amount': 12, 'percentage': 0.7}","{'amount': 12, 'percentage': 0.7}",6 חודשים,3
20-29,"{'amount': 15, 'percentage': 0.9}","{'amount': 20, 'percentage': 1.2}",6 חודשים,3
20-29,"{'amount': 12, 'percentage': 1.1}","{'amount': 9, 'percentage': 0.8}",3 חודשים,4
20-29,"{'amount': 54, 'percentage': 0.9}","{'amount': 51, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 22, 'percentage': 0.9}","{'amount': 31, 'percentage': 1.2}",שנה,2
20-29,"{'amount': 3, 'percentage': 0.5}","{'amount': 6, 'percentage': 0.9}",חודש אחרון,5
30-39,"{'amount': 9, 'percentage': 0.8}","{'amount': 23, 'percentage': 2}",3 חודשים,4
30-39,"{'amount': 24, 'percentage': 1.4}","{'amount': 33, 'percentage': 1.9}",6 חודשים,3
30-39,"{'amount': 49, 'percentage': 1.9}","{'amount': 50, 'percentage': 1.9}",שנה,2
30-39,"{'amount': 5, 'percentage': 0.8}","{'amount': 16, 'percentage': 2.5}",חודש אחרון,5
30-39,"{'amount': 91, 'percentage': 1.6}","{'amount': 93, 'percentage': 1.6}",מתחילת קורונה,1
40-49,"{'amount': 20, 'percentage': 1.8}","{'amount': 44, 'percentage': 3.9}",3 חודשים,4
40-49,"{'amount': 63, 'percentage': 2.4}","{'amount': 122, 'percentage': 4.7}",שנה,2
40-49,"{'amount': 41, 'percentage': 2.4}","{'amount': 79, 'percentage': 4.6}",6 חודשים,3
40-49,"{'amount': 12, 'percentage': 1.9}","{'amount': 20, 'percentage': 3.1}",חודש אחרון,5
40-49,"{'amount': 139, 'percentage': 2.4}","{'amount': 241, 'percentage': 4.1}",מתחילת קורונה,1
50-59,"{'amount': 51, 'percentage': 4.5}","{'amount': 91, 'percentage': 8}",3 חודשים,4
50-59,"{'amount': 25, 'percentage': 3.9}","{'amount': 51, 'percentage': 8}",חודש אחרון,5
50-59,"{'amount': 248, 'percentage': 4.3}","{'amount': 529, 'percentage': 9.1}",מתחילת קורונה,1
50-59,"{'amount': 136, 'percentage': 5.3}","{'amount': 243, 'percentage': 9.4}",שנה,2
50-59,"{'amount': 84, 'percentage': 4.9}","{'amount': 156, 'percentage': 9}",6 חודשים,3
60-69,"{'amount': 77, 'percentage': 6.8}","{'amount': 132, 'percentage': 11.6}",3 חודשים,4
60-69,"{'amount': 471, 'percentage': 8.1}","{'amount': 892, 'percentage': 15.3}",מתחילת קורונה,1
60-69,"{'amount': 234, 'percentage': 9.1}","{'amount': 329, 'percentage': 12.8}",שנה,2
60-69,"{'amount': 155, 'percentage': 9}","{'amount': 216, 'percentage': 12.5}",6 חודשים,3
60-69,"{'amount': 52, 'percentage': 8.2}","{'amount': 91, 'percentage': 14.3}",חודש אחרון,5
70-79,"{'amount': 115, 'percentage': 10.1}","{'amount': 175, 'percentage': 15.4}",3 חודשים,4
70-79,"{'amount': 272, 'percentage': 10.5}","{'amount': 364, 'percentage': 14.1}",שנה,2
70-79,"{'amount': 181, 'percentage': 10.5}","{'amount': 248, 'percentage': 14.3}",6 חודשים,3
70-79,"{'amount': 60, 'percentage': 9.4}","{'amount': 101, 'percentage': 15.9}",חודש אחרון,5
70-79,"{'amount': 564, 'percentage': 9.7}","{'amount': 1001, 'percentage': 17.2}",מתחילת קורונה,1
80-89,"{'amount': 122, 'percentage': 10.8}","{'amount': 142, 'percentage': 12.5}",3 חודשים,4
80-89,"{'amount': 470, 'percentage': 8.1}","{'amount': 621, 'percentage': 10.7}",מתחילת קורונה,1
80-89,"{'amount': 223, 'percentage': 8.6}","{'amount': 263, 'percentage': 10.2}",שנה,2
80-89,"{'amount': 160, 'percentage': 9.3}","{'amount': 177, 'percentage': 10.2}",6 חודשים,3
80-89,"{'amount': 67, 'percentage': 10.5}","{'amount': 70, 'percentage': 11}",חודש אחרון,5
90+,"{'amount': 61, 'percentage': 2.4}","{'amount': 58, 'percentage': 2.2}",שנה,2
90+,"{'amount': 47, 'percentage': 2.7}","{'amount': 43, 'percentage': 2.5}",6 חודשים,3
90+,"{'amount': 38, 'percentage': 3.4}","{'amount': 36, 'percentage': 3.2}",3 חודשים,4
90+,"{'amount': 130, 'percentage': 2.2}","{'amount': 132, 'percentage': 2.3}",מתחילת קורונה,1
90+,"{'amount': 19, 'percentage': 3}","{'amount': 16, 'percentage': 2.5}",חודש אחרון,5
