age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1373,0,2036,469.4,,222.6,0,0,2,0,,0.2
12-15,1060,346,461,327.9,695.2,187.1,2,0,0,0.6,0,0
16-19,1569,211,310,392.2,337.9,266.8,1,0,0,0.2,0,0
20-29,3820,350,620,397.6,227.3,343.9,1,0,2,0.1,0,1.1
30-39,4174,427,717,453.4,321.7,536.4,6,1,6,0.7,0.8,4.5
40-49,4182,290,570,466.8,298.6,552.7,7,4,7,0.8,4.1,6.8
50-59,3236,151,458,440.7,228.3,699.6,16,3,25,2.2,4.5,38.2
60-69,3266,165,397,501,433.6,750.7,46,6,20,7.1,15.8,37.8
70-79,2201,94,322,458.5,431.7,1439.2,46,9,29,9.6,41.3,129.6
80-89,1077,65,212,511.5,448.6,1857.7,42,8,23,19.9,55.2,201.5
90+,351,25,92,732.6,361.7,3819,14,4,15,29.2,57.9,622.7
