age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1686,0,2248,576.9,,245.7,0,0,2,0,,0.2
12-15,1085,386,493,337.9,746.3,199.8,2,0,0,0.6,0,0
16-19,1466,211,300,367.1,334.6,257.9,1,0,0,0.3,0,0
20-29,4224,375,600,439.6,243.2,333.2,1,0,1,0.1,0,0.6
30-39,4743,449,715,515.2,338.2,535.2,7,1,6,0.8,0.8,4.5
40-49,4888,299,539,545.6,307.7,523,7,4,7,0.8,4.1,6.8
50-59,3771,183,455,513.4,276.5,697.7,16,3,22,2.2,4.5,33.7
60-69,3568,183,380,547.3,480.7,719.1,43,6,18,6.6,15.8,34.1
70-79,2453,84,312,510.6,385.7,1415.9,45,8,28,9.4,36.7,127.1
80-89,1059,57,199,502.6,393.5,1763.2,40,10,21,19,69,186.1
90+,301,23,72,626.9,332.4,3122.3,9,3,9,18.7,43.4,390.3
