section,male,female,period
0-9,"{'amount': 22768, 'percentage': 9.2}","{'amount': 16705, 'percentage': 6.7}",חודש אחרון
0-9,"{'amount': 336585, 'percentage': 11.5}","{'amount': 260300, 'percentage': 8.9}",שנה
0-9,"{'amount': 277917, 'percentage': 11.1}","{'amount': 209437, 'percentage': 8.3}",6 חודשים
0-9,"{'amount': 259986, 'percentage': 10.8}","{'amount': 192947, 'percentage': 8}",3 חודשים
0-9,"{'amount': 404866, 'percentage': 10.8}","{'amount': 316160, 'percentage': 8.4}",מתחילת קורונה
10-19,"{'amount': 255884, 'percentage': 10.6}","{'amount': 241958, 'percentage': 10.1}",3 חודשים
10-19,"{'amount': 21097, 'percentage': 8.5}","{'amount': 19848, 'percentage': 8}",חודש אחרון
10-19,"{'amount': 408637, 'percentage': 10.9}","{'amount': 381265, 'percentage': 10.2}",מתחילת קורונה
10-19,"{'amount': 312762, 'percentage': 10.7}","{'amount': 298610, 'percentage': 10.2}",שנה
10-19,"{'amount': 268502, 'percentage': 10.7}","{'amount': 255535, 'percentage': 10.2}",6 חודשים
20-29,"{'amount': 160221, 'percentage': 5.5}","{'amount': 239482, 'percentage': 8.2}",שנה
20-29,"{'amount': 133887, 'percentage': 5.3}","{'amount': 207067, 'percentage': 8.2}",6 חודשים
20-29,"{'amount': 129435, 'percentage': 5.4}","{'amount': 199674, 'percentage': 8.3}",3 חודשים
20-29,"{'amount': 13093, 'percentage': 5.3}","{'amount': 20056, 'percentage': 8.1}",חודש אחרון
20-29,"{'amount': 231048, 'percentage': 6.2}","{'amount': 321748, 'percentage': 8.6}",מתחילת קורונה
30-39,"{'amount': 168183, 'percentage': 5.7}","{'amount': 256508, 'percentage': 8.8}",שנה
30-39,"{'amount': 142896, 'percentage': 5.7}","{'amount': 222495, 'percentage': 8.9}",6 חודשים
30-39,"{'amount': 137885, 'percentage': 5.7}","{'amount': 213613, 'percentage': 8.9}",3 חודשים
30-39,"{'amount': 15823, 'percentage': 6.4}","{'amount': 22464, 'percentage': 9.1}",חודש אחרון
30-39,"{'amount': 220776, 'percentage': 5.9}","{'amount': 317651, 'percentage': 8.5}",מתחילת קורונה
40-49,"{'amount': 133054, 'percentage': 5.3}","{'amount': 199160, 'percentage': 7.9}",6 חודשים
40-49,"{'amount': 14776, 'percentage': 6}","{'amount': 21752, 'percentage': 8.8}",חודש אחרון
40-49,"{'amount': 153649, 'percentage': 5.2}","{'amount': 224726, 'percentage': 7.7}",שנה
40-49,"{'amount': 128858, 'percentage': 5.4}","{'amount': 193323, 'percentage': 8}",3 חודשים
40-49,"{'amount': 197658, 'percentage': 5.3}","{'amount': 277748, 'percentage': 7.4}",מתחילת קורונה
50-59,"{'amount': 98294, 'percentage': 3.4}","{'amount': 141617, 'percentage': 4.8}",שנה
50-59,"{'amount': 84536, 'percentage': 3.5}","{'amount': 124391, 'percentage': 5.2}",3 חודשים
50-59,"{'amount': 131043, 'percentage': 3.5}","{'amount': 179720, 'percentage': 4.8}",מתחילת קורונה
50-59,"{'amount': 86608, 'percentage': 3.4}","{'amount': 127143, 'percentage': 5.1}",6 חודשים
50-59,"{'amount': 10124, 'percentage': 4.1}","{'amount': 15817, 'percentage': 6.4}",חודש אחרון
60-69,"{'amount': 58848, 'percentage': 2.3}","{'amount': 81957, 'percentage': 3.3}",6 חודשים
60-69,"{'amount': 7359, 'percentage': 3}","{'amount': 10944, 'percentage': 4.4}",חודש אחרון
60-69,"{'amount': 66488, 'percentage': 2.3}","{'amount': 90846, 'percentage': 3.1}",שנה
60-69,"{'amount': 57661, 'percentage': 2.4}","{'amount': 80204, 'percentage': 3.3}",3 חודשים
60-69,"{'amount': 88805, 'percentage': 2.4}","{'amount': 114198, 'percentage': 3}",מתחילת קורונה
70-79,"{'amount': 4799, 'percentage': 1.9}","{'amount': 5967, 'percentage': 2.4}",חודש אחרון
70-79,"{'amount': 48093, 'percentage': 1.3}","{'amount': 56518, 'percentage': 1.5}",מתחילת קורונה
70-79,"{'amount': 36970, 'percentage': 1.3}","{'amount': 44793, 'percentage': 1.5}",שנה
70-79,"{'amount': 32184, 'percentage': 1.3}","{'amount': 39114, 'percentage': 1.6}",3 חודשים
70-79,"{'amount': 32819, 'percentage': 1.3}","{'amount': 39930, 'percentage': 1.6}",6 חודשים
80-89,"{'amount': 1664, 'percentage': 0.7}","{'amount': 2186, 'percentage': 0.9}",חודש אחרון
80-89,"{'amount': 13648, 'percentage': 0.5}","{'amount': 18892, 'percentage': 0.6}",שנה
80-89,"{'amount': 11454, 'percentage': 0.5}","{'amount': 16067, 'percentage': 0.7}",3 חודשים
80-89,"{'amount': 11744, 'percentage': 0.5}","{'amount': 16460, 'percentage': 0.7}",6 חודשים
80-89,"{'amount': 18652, 'percentage': 0.5}","{'amount': 25946, 'percentage': 0.7}",מתחילת קורונה
90+,"{'amount': 2519, 'percentage': 0.1}","{'amount': 4710, 'percentage': 0.2}",3 חודשים
90+,"{'amount': 320, 'percentage': 0.1}","{'amount': 561, 'percentage': 0.2}",חודש אחרון
90+,"{'amount': 2991, 'percentage': 0.1}","{'amount': 5593, 'percentage': 0.2}",שנה
90+,"{'amount': 2584, 'percentage': 0.1}","{'amount': 4821, 'percentage': 0.2}",6 חודשים
90+,"{'amount': 4276, 'percentage': 0.1}","{'amount': 8314, 'percentage': 0.2}",מתחילת קורונה
