section,female,male,period
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 4, 'percentage': 0.2}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 4, 'percentage': 0}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",שנה
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 4, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
20-29,"{'amount': 5, 'percentage': 0.2}","{'amount': 1, 'percentage': 0}",3 חודשים
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 23, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 7, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.1}",6 חודשים
20-29,"{'amount': 9, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.1}",שנה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 4, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.4}",3 חודשים
30-39,"{'amount': 1, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.5}",חודש אחרון
30-39,"{'amount': 36, 'percentage': 0.3}","{'amount': 51, 'percentage': 0.5}",מתחילת קורונה
30-39,"{'amount': 16, 'percentage': 0.4}","{'amount': 25, 'percentage': 0.6}",שנה
30-39,"{'amount': 7, 'percentage': 0.3}","{'amount': 13, 'percentage': 0.5}",6 חודשים
40-49,"{'amount': 27, 'percentage': 0.6}","{'amount': 54, 'percentage': 1.2}",שנה
40-49,"{'amount': 19, 'percentage': 0.7}","{'amount': 35, 'percentage': 1.3}",6 חודשים
40-49,"{'amount': 9, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.6}",3 חודשים
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 3, 'percentage': 0.7}",חודש אחרון
40-49,"{'amount': 74, 'percentage': 0.7}","{'amount': 117, 'percentage': 1.1}",מתחילת קורונה
50-59,"{'amount': 5, 'percentage': 1.2}","{'amount': 13, 'percentage': 3.2}",חודש אחרון
50-59,"{'amount': 85, 'percentage': 2}","{'amount': 150, 'percentage': 3.5}",שנה
50-59,"{'amount': 54, 'percentage': 1.9}","{'amount': 91, 'percentage': 3.3}",6 חודשים
50-59,"{'amount': 36, 'percentage': 1.6}","{'amount': 50, 'percentage': 2.3}",3 חודשים
50-59,"{'amount': 195, 'percentage': 1.9}","{'amount': 373, 'percentage': 3.6}",מתחילת קורונה
60-69,"{'amount': 263, 'percentage': 6.1}","{'amount': 372, 'percentage': 8.6}",שנה
60-69,"{'amount': 141, 'percentage': 5.1}","{'amount': 230, 'percentage': 8.3}",6 חודשים
60-69,"{'amount': 85, 'percentage': 3.9}","{'amount': 154, 'percentage': 7}",3 חודשים
60-69,"{'amount': 25, 'percentage': 6.1}","{'amount': 41, 'percentage': 10}",חודש אחרון
60-69,"{'amount': 536, 'percentage': 5.1}","{'amount': 978, 'percentage': 9.4}",מתחילת קורונה
70-79,"{'amount': 209, 'percentage': 9.5}","{'amount': 289, 'percentage': 13.1}",3 חודשים
70-79,"{'amount': 42, 'percentage': 10.2}","{'amount': 56, 'percentage': 13.6}",חודש אחרון
70-79,"{'amount': 447, 'percentage': 10.3}","{'amount': 586, 'percentage': 13.5}",שנה
70-79,"{'amount': 287, 'percentage': 10.3}","{'amount': 360, 'percentage': 13}",6 חודשים
70-79,"{'amount': 1002, 'percentage': 9.6}","{'amount': 1584, 'percentage': 15.2}",מתחילת קורונה
80-89,"{'amount': 72, 'percentage': 17.5}","{'amount': 76, 'percentage': 18.4}",חודש אחרון
80-89,"{'amount': 419, 'percentage': 19}","{'amount': 425, 'percentage': 19.3}",3 חודשים
80-89,"{'amount': 733, 'percentage': 16.9}","{'amount': 755, 'percentage': 17.4}",שנה
80-89,"{'amount': 482, 'percentage': 17.3}","{'amount': 488, 'percentage': 17.6}",6 חודשים
80-89,"{'amount': 1687, 'percentage': 16.1}","{'amount': 1834, 'percentage': 17.6}",מתחילת קורונה
90+,"{'amount': 254, 'percentage': 11.5}","{'amount': 230, 'percentage': 10.4}",3 חודשים
90+,"{'amount': 439, 'percentage': 10.1}","{'amount': 348, 'percentage': 8}",שנה
90+,"{'amount': 300, 'percentage': 10.8}","{'amount': 250, 'percentage': 9}",6 חודשים
90+,"{'amount': 36, 'percentage': 8.7}","{'amount': 39, 'percentage': 9.5}",חודש אחרון
90+,"{'amount': 1090, 'percentage': 10.4}","{'amount': 822, 'percentage': 7.9}",מתחילת קורונה
