instituteDesc,occupancy,gOccupancy,occupancyDate
הכרמל,53.8,81.4,2022-04-26T00:00:00.000Z
רבין ק. השרון,63.2,59.8,2022-04-26T00:00:00.000Z
יוספטל,68.8,63.1,2022-04-26T00:00:00.000Z
סורוקה,71.3,80.6,2022-04-26T00:00:00.000Z
וולפסון,75.8,77.2,2022-04-26T00:00:00.000Z
פוריה,76.9,80,2022-04-26T00:00:00.000Z
מאיר,77,80.8,2022-04-26T00:00:00.000Z
הדסה הר הצופים,77.8,88.5,2022-04-26T00:00:00.000Z
נהריה,87.9,82.9,2022-04-26T00:00:00.000Z
איכילוב,88.7,125.8,2022-04-26T00:00:00.000Z
שמיר,91.1,78.1,2022-04-26T00:00:00.000Z
לניאדו,92.3,108.9,2022-04-26T00:00:00.000Z
קפלן,94,86.7,2022-04-26T00:00:00.000Z
המרכזי בעמק,97.4,71.2,2022-04-26T00:00:00.000Z
בני ציון,102.5,91,2022-04-26T00:00:00.000Z
"רמב""ם",104.5,87.1,2022-04-26T00:00:00.000Z
הלל יפה,107.5,90.7,2022-04-26T00:00:00.000Z
ברזילי,107.8,90.7,2022-04-26T00:00:00.000Z
אסותא אשדוד,115.3,104.8,2022-04-26T00:00:00.000Z
שיבא,118,108.2,2022-04-26T00:00:00.000Z
זיו צפת,121.9,81,2022-04-26T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.4,2022-04-26T00:00:00.000Z
הדסה עין כרם,119.4,89.4,2022-04-26T00:00:00.000Z
רבין ק. בילינסון,126.9,98.7,2022-04-26T00:00:00.000Z
המשפחה הקדושה,172.4,118.1,2022-04-26T00:00:00.000Z
