date,serious_critical_new,medium_new,easy_new
2020-03-02T00:00:00.000Z,0,0,3
2020-03-03T00:00:00.000Z,0,0,1
2020-03-04T00:00:00.000Z,0,0,3
2020-03-05T00:00:00.000Z,1,0,1
2020-03-06T00:00:00.000Z,1,0,3
2020-03-07T00:00:00.000Z,1,0,2
2020-03-08T00:00:00.000Z,2,0,5
2020-03-09T00:00:00.000Z,0,0,14
2020-03-10T00:00:00.000Z,1,0,21
2020-03-11T00:00:00.000Z,1,1,21
2020-03-12T00:00:00.000Z,0,0,24
2020-03-13T00:00:00.000Z,0,4,19
2020-03-14T00:00:00.000Z,1,0,42
2020-03-15T00:00:00.000Z,3,3,36
2020-03-16T00:00:00.000Z,2,0,22
2020-03-17T00:00:00.000Z,1,1,46
2020-03-18T00:00:00.000Z,4,5,46
2020-03-19T00:00:00.000Z,5,1,24
2020-03-20T00:00:00.000Z,3,3,24
2020-03-21T00:00:00.000Z,4,7,24
2020-03-22T00:00:00.000Z,11,12,33
2020-03-23T00:00:00.000Z,7,6,48
2020-03-24T00:00:00.000Z,7,12,68
2020-03-25T00:00:00.000Z,5,7,70
2020-03-26T00:00:00.000Z,10,16,67
2020-03-27T00:00:00.000Z,13,10,92
2020-03-28T00:00:00.000Z,5,15,36
2020-03-29T00:00:00.000Z,14,18,54
2020-03-30T00:00:00.000Z,13,30,100
2020-03-31T00:00:00.000Z,15,36,97
2020-04-01T00:00:00.000Z,21,47,117
2020-04-02T00:00:00.000Z,12,29,111
2020-04-03T00:00:00.000Z,24,45,91
2020-04-04T00:00:00.000Z,17,23,56
2020-04-05T00:00:00.000Z,6,35,85
2020-04-06T00:00:00.000Z,21,66,101
2020-04-07T00:00:00.000Z,18,39,70
2020-04-08T00:00:00.000Z,22,34,70
2020-04-09T00:00:00.000Z,19,35,69
2020-04-10T00:00:00.000Z,13,23,68
2020-04-11T00:00:00.000Z,26,42,59
2020-04-12T00:00:00.000Z,21,60,100
2020-04-13T00:00:00.000Z,34,47,100
2020-04-14T00:00:00.000Z,8,38,83
2020-04-15T00:00:00.000Z,26,42,75
2020-04-16T00:00:00.000Z,19,37,72
2020-04-17T00:00:00.000Z,13,33,59
2020-04-18T00:00:00.000Z,28,29,57
2020-04-19T00:00:00.000Z,8,32,48
