section,male,female,period
0-9,"{'amount': 22, 'percentage': 0.9}","{'amount': 8, 'percentage': 0.3}",שנה
0-9,"{'amount': 17, 'percentage': 1.2}","{'amount': 8, 'percentage': 0.6}",6 חודשים
0-9,"{'amount': 13, 'percentage': 1.3}","{'amount': 7, 'percentage': 0.7}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 30, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 14, 'percentage': 0.6}","{'amount': 15, 'percentage': 0.6}",שנה
10-19,"{'amount': 9, 'percentage': 0.6}","{'amount': 10, 'percentage': 0.7}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.5}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.7}","{'amount': 5, 'percentage': 0.5}",3 חודשים
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.4}",מתחילת קורונה
20-29,"{'amount': 1, 'percentage': 0.5}","{'amount': 1, 'percentage': 0.5}",חודש אחרון
20-29,"{'amount': 22, 'percentage': 0.9}","{'amount': 20, 'percentage': 0.8}",שנה
20-29,"{'amount': 11, 'percentage': 0.8}","{'amount': 14, 'percentage': 1}",6 חודשים
20-29,"{'amount': 9, 'percentage': 0.9}","{'amount': 9, 'percentage': 0.9}",3 חודשים
20-29,"{'amount': 54, 'percentage': 0.9}","{'amount': 57, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 8, 'percentage': 3.9}","{'amount': 5, 'percentage': 2.4}",חודש אחרון
30-39,"{'amount': 48, 'percentage': 2}","{'amount': 38, 'percentage': 1.6}",שנה
30-39,"{'amount': 29, 'percentage': 2}","{'amount': 19, 'percentage': 1.3}",6 חודשים
30-39,"{'amount': 22, 'percentage': 2.1}","{'amount': 13, 'percentage': 1.3}",3 חודשים
30-39,"{'amount': 102, 'percentage': 1.7}","{'amount': 104, 'percentage': 1.7}",מתחילת קורונה
40-49,"{'amount': 5, 'percentage': 2.4}","{'amount': 5, 'percentage': 2.4}",חודש אחרון
40-49,"{'amount': 261, 'percentage': 4.3}","{'amount': 138, 'percentage': 2.3}",מתחילת קורונה
40-49,"{'amount': 111, 'percentage': 4.7}","{'amount': 52, 'percentage': 2.2}",שנה
40-49,"{'amount': 56, 'percentage': 3.9}","{'amount': 26, 'percentage': 1.8}",6 חודשים
40-49,"{'amount': 31, 'percentage': 3}","{'amount': 14, 'percentage': 1.4}",3 חודשים
50-59,"{'amount': 76, 'percentage': 7.4}","{'amount': 37, 'percentage': 3.6}",3 חודשים
50-59,"{'amount': 17, 'percentage': 8.3}","{'amount': 5, 'percentage': 2.4}",חודש אחרון
50-59,"{'amount': 198, 'percentage': 8.3}","{'amount': 116, 'percentage': 4.9}",שנה
50-59,"{'amount': 116, 'percentage': 8.1}","{'amount': 61, 'percentage': 4.3}",6 חודשים
50-59,"{'amount': 544, 'percentage': 9.1}","{'amount': 254, 'percentage': 4.2}",מתחילת קורונה
60-69,"{'amount': 30, 'percentage': 14.6}","{'amount': 17, 'percentage': 8.3}",חודש אחרון
60-69,"{'amount': 127, 'percentage': 12.4}","{'amount': 69, 'percentage': 6.7}",3 חודשים
60-69,"{'amount': 293, 'percentage': 12.3}","{'amount': 211, 'percentage': 8.9}",שנה
60-69,"{'amount': 171, 'percentage': 11.9}","{'amount': 105, 'percentage': 7.3}",6 חודשים
60-69,"{'amount': 922, 'percentage': 15.4}","{'amount': 501, 'percentage': 8.3}",מתחילת קורונה
70-79,"{'amount': 219, 'percentage': 15.3}","{'amount': 152, 'percentage': 10.6}",6 חודשים
70-79,"{'amount': 359, 'percentage': 15.1}","{'amount': 247, 'percentage': 10.4}",שנה
70-79,"{'amount': 32, 'percentage': 15.5}","{'amount': 19, 'percentage': 9.2}",חודש אחרון
70-79,"{'amount': 164, 'percentage': 16}","{'amount': 105, 'percentage': 10.2}",3 חודשים
70-79,"{'amount': 1010, 'percentage': 16.8}","{'amount': 578, 'percentage': 9.6}",מתחילת קורונה
80-89,"{'amount': 137, 'percentage': 13.4}","{'amount': 111, 'percentage': 10.8}",3 חודשים
80-89,"{'amount': 258, 'percentage': 10.8}","{'amount': 222, 'percentage': 9.3}",שנה
80-89,"{'amount': 175, 'percentage': 12.2}","{'amount': 143, 'percentage': 10}",6 חודשים
80-89,"{'amount': 25, 'percentage': 12.1}","{'amount': 19, 'percentage': 9.2}",חודש אחרון
80-89,"{'amount': 632, 'percentage': 10.5}","{'amount': 476, 'percentage': 7.9}",מתחילת קורונה
90+,"{'amount': 62, 'percentage': 2.6}","{'amount': 66, 'percentage': 2.8}",שנה
90+,"{'amount': 45, 'percentage': 3.1}","{'amount': 49, 'percentage': 3.4}",6 חודשים
90+,"{'amount': 33, 'percentage': 3.2}","{'amount': 36, 'percentage': 3.5}",3 חודשים
90+,"{'amount': 6, 'percentage': 2.9}","{'amount': 10, 'percentage': 4.9}",חודש אחרון
90+,"{'amount': 140, 'percentage': 2.3}","{'amount': 138, 'percentage': 2.3}",מתחילת קורונה
