cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו גוש,קטן מ-15,אין מידע,24,30.53,3.61,ירוק,7862
אבו סנאן,קטן מ-15,אין מידע,19,13.28,5.49,צהוב,14306
אבן יהודה,קטן מ-15,אין מידע,32,22.80,6.35,כתום,14036
אום אל-פחם,קטן מ-15,אין מידע,23,4.06,4.17,ירוק,56713
אופקים,קטן מ-15,אין מידע,47,14.52,5.85,צהוב,32378
אור יהודה,קטן מ-15,אין מידע,57,15.58,5.07,צהוב,36587
אור עקיבא,קטן מ-15,אין מידע,32,16.48,5.1,צהוב,19417
אורנית,קטן מ-15,אין מידע,24,26.64,6,כתום,9010
אזור,קטן מ-15,אין מידע,20,15.12,5.82,צהוב,13228
אילת,17,15.04,113,21.52,5.35,צהוב,52507
אלפי מנשה,קטן מ-15,אין מידע,17,21.22,6.51,כתום,8011
אריאל,קטן מ-15,אין מידע,27,13.18,5.37,צהוב,20488
אשדוד,72,18.46,390,17.23,5.25,צהוב,226329
אשקלון,79,23.44,337,23.01,5.13,צהוב,146442
באקה אל-גרביה,קטן מ-15,אין מידע,20,6.57,4.03,ירוק,30448
באר יעקב,16,29.09,55,19.09,5.77,צהוב,28818
באר שבע,122,20.78,587,27.87,6.23,כתום,210624
בית שאן,קטן מ-15,אין מידע,32,16.86,3.94,ירוק,18980
בית שמש,18,24.32,74,5.60,4.08,ירוק,132210
בני ברק,קטן מ-15,אין מידע,58,2.79,2.53,ירוק,208031
"בני עי""ש",קטן מ-15,אין מידע,16,23.18,7.08,כתום,6902
בנימינה-גבעת עדה,קטן מ-15,אין מידע,40,25.05,6.61,כתום,15971
בת ים,29,12.45,233,18.24,4.8,צהוב,127772
גבעת זאב,קטן מ-15,אין מידע,23,11.98,5.92,צהוב,19205
גבעת שמואל,18,26.09,69,25.33,5.98,צהוב,27236
גבעתיים,קטן מ-15,אין מידע,110,18.07,5.68,צהוב,60872
גדרה,40,37.04,108,37.49,6.87,כתום,28805
גן יבנה,קטן מ-15,אין מידע,37,15.49,5.54,צהוב,23887
גני תקווה,קטן מ-15,אין מידע,72,33.48,6.3,כתום,21508
דימונה,16,26.23,61,17.45,8.82,אדום,34954
הוד השרון,27,17.53,154,23.78,6.25,כתום,64755
הרצליה,43,13.87,310,31.25,6.05,כתום,99208
זכרון יעקב,20,26.32,76,32.34,6.38,כתום,23503
חדרה,28,17.28,162,16.38,5.13,צהוב,98928
חולון,68,18.43,369,18.78,5.94,צהוב,196510
חורה,קטן מ-15,אין מידע,18,7.81,3.98,ירוק,23062
חיפה,80,11.44,699,24.53,5.78,צהוב,284981
חריש,קטן מ-15,אין מידע,40,20.40,6.14,כתום,19608
טבריה,קטן מ-15,אין מידע,119,26.05,5.16,צהוב,45686
טייבה,47,79.66,59,13.23,5.67,צהוב,44582
טירה,קטן מ-15,אין מידע,32,11.86,5.33,צהוב,26972
טירת כרמל,קטן מ-15,אין מידע,37,15.24,5.48,צהוב,24285
יבנה,31,32.98,94,18.89,5.36,צהוב,49759
יהוד,קטן מ-15,אין מידע,82,27.33,6.6,כתום,30003
יקנעם עילית,קטן מ-15,אין מידע,47,19.53,4.43,ירוק,24061
ירושלים,224,17.96,1247,13.09,4.79,צהוב,952916
כוכב יאיר,קטן מ-15,אין מידע,33,37.77,7.38,כתום,8738
כפר ורדים,קטן מ-15,אין מידע,17,30.94,7.67,אדום,5495
כפר יונה,קטן מ-15,אין מידע,49,18.75,5.54,צהוב,26140
כפר סבא,49,15.22,322,31.67,6.61,כתום,101664
כרמיאל,קטן מ-15,אין מידע,102,22.08,6.14,כתום,46190
להבים,קטן מ-15,אין מידע,30,45.17,7.36,כתום,6641
לוד,38,31.67,120,14.85,4.86,צהוב,80786
מבשרת ציון,15,17.65,85,34.91,5.94,צהוב,24347
מגאר,קטן מ-15,אין מידע,28,12.03,6.14,כתום,23271
מגדל העמק,קטן מ-15,אין מידע,17,6.59,2.78,ירוק,25790
מודיעין-מכבים-רעות,49,18.85,260,27.44,6.72,כתום,94744
מזכרת בתיה,קטן מ-15,אין מידע,31,20.54,6.52,כתום,15095
מיתר,קטן מ-15,אין מידע,34,34.13,7.09,כתום,9963
מעלה אדומים,קטן מ-15,אין מידע,47,12.43,5.66,צהוב,37802
מעלות-תרשיחא,קטן מ-15,אין מידע,46,20.76,6.56,כתום,22158
נהריה,21,21.00,100,16.90,5.37,צהוב,59189
נוף הגליל,קטן מ-15,אין מידע,71,16.92,4.83,צהוב,41950
נס ציונה,36,27.69,130,25.73,6.47,כתום,50532
נצרת,18,27.69,65,8.36,2.96,ירוק,77734
נשר,קטן מ-15,אין מידע,47,19.63,6.47,כתום,23947
נתיבות,קטן מ-15,אין מידע,42,10.64,4.83,צהוב,39456
נתניה,70,19.66,356,15.92,5.29,צהוב,223562
סביון,קטן מ-15,אין מידע,18,44.50,5.1,צהוב,4045
סח'נין,קטן מ-15,אין מידע,21,6.52,2.42,ירוק,32220
עומר,קטן מ-15,אין מידע,23,30.39,7.21,כתום,7569
עיילבון,קטן מ-15,אין מידע,24,41.52,7.65,אדום,5781
עכו,קטן מ-15,אין מידע,70,14.14,4.67,צהוב,49517
עפולה,קטן מ-15,אין מידע,68,11.96,4.68,צהוב,56844
ערד,קטן מ-15,אין מידע,41,15.09,5.66,צהוב,27170
עתלית,קטן מ-15,אין מידע,17,17.50,5.45,צהוב,9716
פוריידיס,קטן מ-15,אין מידע,18,13.39,3.85,ירוק,13439
פרדס חנה-כרכור,19,24.36,78,17.87,5.34,צהוב,43646
פרדסיה,קטן מ-15,אין מידע,22,33.10,5.53,צהוב,6647
פתח תקווה,88,19.47,452,18.05,5.19,צהוב,250427
צור יצחק,קטן מ-15,אין מידע,19,28.85,6.97,כתום,6585
צפת,קטן מ-15,אין מידע,43,11.81,5.14,צהוב,36423
קדימה-צורן,16,34.78,46,20.25,5.54,צהוב,22711
קיסריה,קטן מ-15,אין מידע,20,35.69,5.62,צהוב,5604
קרית אונו,29,23.97,121,29.67,6.52,כתום,40778
קרית אתא,קטן מ-15,אין מידע,86,14.50,5.76,צהוב,59291
קרית ביאליק,16,15.69,102,24.49,5.99,צהוב,41645
קרית גת,16,16.49,97,16.57,5.2,צהוב,58550
קרית טבעון,קטן מ-15,אין מידע,42,22.99,5.09,צהוב,18266
קרית ים,18,21.43,84,21.33,6.21,כתום,39389
קרית מוצקין,19,17.43,109,23.98,5.75,צהוב,45461
קרית מלאכי,קטן מ-15,אין מידע,30,12.32,5.44,צהוב,24346
קרית עקרון,קטן מ-15,אין מידע,21,19.03,5.44,צהוב,11034
קרית שמונה,קטן מ-15,אין מידע,44,19.58,4.44,ירוק,22470
קרני שומרון,קטן מ-15,אין מידע,18,18.96,7.86,אדום,9492
ראש העין,21,15.67,134,19.90,5.68,צהוב,67337
ראשון לציון,91,18.27,498,19.46,5.64,צהוב,255891
רהט,קטן מ-15,אין מידע,17,2.31,4.3,ירוק,73671
רחובות,100,25.84,387,26.47,6.34,כתום,146213
רמלה,19,19.39,98,12.74,4.42,ירוק,76903
רמת גן,52,13.23,393,23.57,5.64,צהוב,166746
רמת השרון,35,22.58,155,32.64,6.47,כתום,47482
רעננה,53,22.55,235,30.54,6.34,כתום,76958
שדרות,קטן מ-15,אין מידע,56,19.38,5.03,צהוב,28899
שוהם,קטן מ-15,אין מידע,57,27.11,6.3,כתום,21029
שפרעם,קטן מ-15,אין מידע,27,6.37,4.05,ירוק,42400
תל אביב - יפו,169,12.80,1320,26.35,5.79,צהוב,501015
תל מונד,קטן מ-15,אין מידע,37,27.49,6.68,כתום,13461
תל שבע,קטן מ-15,אין מידע,34,15.79,5.39,צהוב,21531
