date,visited_country,israeli_incoming_vaccination,israeli_incoming_none_vaccination,israeli_incoming_vaccination_expired,israeli_positive_vaccination,israeli_positive_none_vaccination,israeli_positive_vaccination_expired
2021-09-28T00:00:00.000Z,,37,0,3,0,0,0
2021-09-28T00:00:00.000Z,,12,0,0,0,0,0
2021-09-28T00:00:00.000Z,,3,0,0,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,2,0,0,0,0,0
2021-09-28T00:00:00.000Z,,608,0,25,2,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,282,0,3,0,0,0
2021-09-28T00:00:00.000Z,,2565,0,89,2,0,0
2021-09-28T00:00:00.000Z,,42,0,16,0,0,1
2021-09-28T00:00:00.000Z,,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,,585,0,31,1,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,10,0,2,0,0,0
2021-09-28T00:00:00.000Z,,1,0,2,0,0,0
2021-09-28T00:00:00.000Z,,6,0,0,0,0,0
2021-09-28T00:00:00.000Z,,479,0,14,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,139,0,2,1,0,0
2021-09-28T00:00:00.000Z,,175,0,11,0,0,0
2021-09-28T00:00:00.000Z,,849,0,23,0,0,0
2021-09-28T00:00:00.000Z,,15,0,1,0,0,0
2021-09-28T00:00:00.000Z,,1466,0,76,1,0,2
2021-09-28T00:00:00.000Z,,682,0,22,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,13,0,5,0,0,0
2021-09-28T00:00:00.000Z,,16,0,3,0,0,0
2021-09-28T00:00:00.000Z,,278,0,34,3,0,3
2021-09-28T00:00:00.000Z,,212,0,26,2,0,1
2021-09-28T00:00:00.000Z,,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,72,0,4,0,0,0
2021-09-28T00:00:00.000Z,,428,0,30,0,0,1
2021-09-28T00:00:00.000Z,,12,0,0,0,0,0
2021-09-28T00:00:00.000Z,,235,0,31,5,0,1
2021-09-28T00:00:00.000Z,,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,,558,0,20,0,0,0
2021-09-28T00:00:00.000Z,,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,,8,0,0,0,0,0
2021-09-28T00:00:00.000Z,,2,0,0,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,0,0,2,0,0,0
2021-09-28T00:00:00.000Z,,5,0,0,0,0,0
2021-09-28T00:00:00.000Z,,271,0,7,0,0,0
2021-09-28T00:00:00.000Z,,0,0,1,0,0,0
2021-09-28T00:00:00.000Z,,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,,273,0,9,0,0,0
2021-09-28T00:00:00.000Z,,3,0,0,0,0,0
2021-09-28T00:00:00.000Z,,515,0,22,4,0,0
2021-09-28T00:00:00.000Z,,1,0,1,0,0,0
2021-09-28T00:00:00.000Z,,676,0,22,0,0,0
2021-09-28T00:00:00.000Z,,2,0,3,0,0,0
2021-09-28T00:00:00.000Z,,3,0,0,0,0,0
2021-09-28T00:00:00.000Z,,2,0,0,0,0,0
2021-09-28T00:00:00.000Z,,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,,6,0,0,0,0,0
2021-09-28T00:00:00.000Z,,3,0,0,1,0,0
2021-09-28T00:00:00.000Z,,2,0,2,0,0,0
2021-09-28T00:00:00.000Z,,53,0,8,0,0,0
2021-09-28T00:00:00.000Z,,10,0,1,0,0,0
2021-09-28T00:00:00.000Z,,16,0,0,0,0,0
2021-09-28T00:00:00.000Z,,13,0,0,0,0,0
2021-09-28T00:00:00.000Z,,101,0,5,0,0,0
2021-09-28T00:00:00.000Z,,19,0,0,0,0,0
2021-09-28T00:00:00.000Z,,25,0,2,1,0,0
2021-09-28T00:00:00.000Z,,36,0,10,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,8,0,8,0,0,0
2021-09-28T00:00:00.000Z,,18,0,1,0,0,0
2021-09-28T00:00:00.000Z,,2,0,1,0,0,0
2021-09-28T00:00:00.000Z,,5,0,0,0,0,0
2021-09-28T00:00:00.000Z,,257,0,17,0,0,0
2021-09-28T00:00:00.000Z,,109,0,9,0,0,0
2021-09-28T00:00:00.000Z,,102,0,8,0,0,0
2021-09-28T00:00:00.000Z,,22,0,3,0,0,0
2021-09-28T00:00:00.000Z,,1,0,1,0,0,0
2021-09-28T00:00:00.000Z,,16833,0,1151,26,0,11
2021-09-28T00:00:00.000Z,,19,0,0,0,0,0
2021-09-28T00:00:00.000Z,,0,0,1,0,0,0
2021-09-28T00:00:00.000Z,,34,0,0,0,0,0
2021-09-28T00:00:00.000Z,,3285,0,382,3,0,0
2021-09-28T00:00:00.000Z,,233,0,15,0,0,0
2021-09-28T00:00:00.000Z,,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,,8,0,0,0,0,0
2021-09-28T00:00:00.000Z,,95,0,1,0,0,0
2021-09-28T00:00:00.000Z,,6,0,0,0,0,0
2021-09-28T00:00:00.000Z,,0,0,1,0,0,0
2021-09-28T00:00:00.000Z,,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,,21,0,0,0,0,0
2021-09-28T00:00:00.000Z,,22,0,4,0,0,0
2021-09-28T00:00:00.000Z,,13,0,0,0,0,0
2021-09-28T00:00:00.000Z,,2,0,4,0,0,0
2021-09-28T00:00:00.000Z,,6,0,0,0,0,0
2021-09-28T00:00:00.000Z,,147,0,19,0,0,1
2021-09-28T00:00:00.000Z,,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,799,0,45,0,0,0
2021-09-29T00:00:00.000Z,,57,0,2,0,0,0
2021-09-29T00:00:00.000Z,,172,0,7,0,0,0
2021-09-29T00:00:00.000Z,,88,0,12,0,0,0
2021-09-29T00:00:00.000Z,,17185,0,1218,24,0,10
2021-09-29T00:00:00.000Z,,886,0,53,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,116,0,13,2,0,0
2021-09-29T00:00:00.000Z,,621,0,19,0,0,0
2021-09-29T00:00:00.000Z,,723,0,75,0,0,0
2021-09-29T00:00:00.000Z,,338,0,27,0,0,0
2021-09-29T00:00:00.000Z,,6,0,2,0,0,0
2021-09-29T00:00:00.000Z,,1157,0,32,0,0,0
2021-09-29T00:00:00.000Z,,2,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,16,0,4,0,0,0
2021-09-29T00:00:00.000Z,,65,0,4,0,0,0
2021-09-29T00:00:00.000Z,,31,0,0,0,0,0
2021-09-29T00:00:00.000Z,,521,0,20,0,0,0
2021-09-29T00:00:00.000Z,,58,0,6,0,0,0
2021-09-29T00:00:00.000Z,,198,0,40,2,0,2
2021-09-29T00:00:00.000Z,,4,0,2,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,21,0,0,0,0,0
2021-09-29T00:00:00.000Z,,2,0,2,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,687,0,53,0,0,0
2021-09-29T00:00:00.000Z,,1,0,1,0,0,0
2021-09-29T00:00:00.000Z,,6,0,1,0,0,0
2021-09-29T00:00:00.000Z,,1,0,1,0,0,0
2021-09-29T00:00:00.000Z,,111,0,7,0,0,0
2021-09-29T00:00:00.000Z,,81,0,6,0,0,0
2021-09-29T00:00:00.000Z,,7,0,1,0,0,0
2021-09-29T00:00:00.000Z,,58,0,13,0,0,1
2021-09-29T00:00:00.000Z,,3,0,0,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,560,0,61,6,0,2
2021-09-29T00:00:00.000Z,,28,0,2,0,0,0
2021-09-29T00:00:00.000Z,,11,0,1,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,849,0,39,1,0,0
2021-09-29T00:00:00.000Z,,457,0,23,0,0,0
2021-09-29T00:00:00.000Z,,6,0,0,0,0,0
2021-09-29T00:00:00.000Z,,2,0,0,0,0,0
2021-09-29T00:00:00.000Z,,8,0,0,0,0,0
2021-09-29T00:00:00.000Z,,527,0,54,3,0,0
2021-09-29T00:00:00.000Z,,404,0,21,1,0,0
2021-09-29T00:00:00.000Z,,3,0,0,0,0,0
2021-09-29T00:00:00.000Z,,179,0,26,0,0,0
2021-09-29T00:00:00.000Z,,3,0,2,0,0,0
2021-09-29T00:00:00.000Z,,69,0,5,0,0,0
2021-09-29T00:00:00.000Z,,4,0,0,0,0,0
2021-09-29T00:00:00.000Z,,9,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,11,0,1,0,0,0
2021-09-29T00:00:00.000Z,,4,0,0,0,0,0
2021-09-29T00:00:00.000Z,,19,0,0,0,0,0
2021-09-29T00:00:00.000Z,,4,0,4,0,0,0
2021-09-29T00:00:00.000Z,,71,0,10,0,0,0
2021-09-29T00:00:00.000Z,,4,0,2,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,191,0,6,0,0,0
2021-09-29T00:00:00.000Z,,3,0,1,0,0,0
2021-09-29T00:00:00.000Z,,3,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1513,0,134,5,0,3
2021-09-29T00:00:00.000Z,,8,0,0,0,0,0
2021-09-29T00:00:00.000Z,,45,0,1,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,7,0,0,0,0,0
2021-09-29T00:00:00.000Z,,3,0,2,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,178,0,2,0,0,0
2021-09-29T00:00:00.000Z,,11,0,5,0,0,0
2021-09-29T00:00:00.000Z,,30,0,4,0,0,0
2021-09-29T00:00:00.000Z,,2,0,0,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,340,0,13,0,0,0
2021-09-29T00:00:00.000Z,,7,0,0,0,0,0
2021-09-29T00:00:00.000Z,,0,0,1,0,0,0
2021-09-29T00:00:00.000Z,,0,0,2,0,0,0
2021-09-29T00:00:00.000Z,,0,0,0,0,0,0
2021-09-29T00:00:00.000Z,,267,0,16,1,0,0
2021-09-29T00:00:00.000Z,,4,0,1,0,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,43,0,10,0,0,0
2021-09-29T00:00:00.000Z,,3,0,1,0,0,0
2021-09-29T00:00:00.000Z,,26,0,17,0,0,0
2021-09-29T00:00:00.000Z,,1,0,2,0,0,0
2021-09-29T00:00:00.000Z,,1923,0,134,1,0,0
2021-09-29T00:00:00.000Z,,1,0,0,0,0,0
2021-09-29T00:00:00.000Z,,1,0,3,0,0,0
2021-09-29T00:00:00.000Z,,1718,0,75,1,0,1
2021-09-29T00:00:00.000Z,,2,0,1,0,0,0
2021-09-29T00:00:00.000Z,,1,0,1,0,0,0
2021-09-30T00:00:00.000Z,,94,0,5,0,0,0
2021-09-30T00:00:00.000Z,,7,0,0,0,0,0
2021-09-30T00:00:00.000Z,,0,0,1,0,0,0
2021-09-30T00:00:00.000Z,,14,0,11,0,0,1
2021-09-30T00:00:00.000Z,,138,0,10,0,0,0
2021-09-30T00:00:00.000Z,,399,0,38,0,0,0
2021-09-30T00:00:00.000Z,,0,0,0,0,0,0
2021-09-30T00:00:00.000Z,,2,0,0,0,0,0
2021-09-30T00:00:00.000Z,,18,0,2,0,0,0
2021-09-30T00:00:00.000Z,,1,0,0,0,0,0
2021-09-30T00:00:00.000Z,,7,0,2,0,0,0
2021-09-30T00:00:00.000Z,,0,0,0,0,0,0
2021-09-30T00:00:00.000Z,,1,0,1,0,0,0
2021-09-30T00:00:00.000Z,,0,0,0,0,0,0
2021-09-30T00:00:00.000Z,,53,0,17,0,0,0
2021-09-30T00:00:00.000Z,,411,0,63,1,0,3
2021-09-30T00:00:00.000Z,,3,0,0,0,0,0
2021-09-30T00:00:00.000Z,,1,0,1,0,0,0
2021-09-30T00:00:00.000Z,,2,0,0,0,0,0
2021-09-30T00:00:00.000Z,,2155,0,113,0,0,0
2021-09-30T00:00:00.000Z,,854,0,46,0,0,0
2021-09-30T00:00:00.000Z,,0,0,0,0,0,0
2021-09-30T00:00:00.000Z,,2,0,0,0,0,0
2021-09-30T00:00:00.000Z,,1,0,0,0,0,0
2021-09-30T00:00:00.000Z,,2,0,0,0,0,0
2021-09-30T00:00:00.000Z,,1,0,0,0,0,0
