name,isShown,info,rn,tile_name,api_endpoints_name
verifiedSmall,1,"מספר המאומתים לנגיף COVID-19 שאותרו משעה 00:00 עד שעה 23:59 של יום אתמול.

סה""כ: מספר המאומתים מפרוץ המגיפה, כולל מי שהתגלו כמאומתים לנגיף שוב.

מאומתים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022) , בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.

מספר החולים הפעילים במחלת הנגיף COVID-19, נכון למועד העדכון האחרון.

חולים פעילים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022), ללא קשר להופעת תסמינים, שעוד לא הוגדרו כמחלימים ושלא נפטרו.",1,מאומתים אתמול,
sickPerLocation,0,"מספר החולים הפעילים במחלת הנגיף COVID-19, נכון למועד העדכון האחרון.

חולה פעילים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19, ללא קשר להופעת תסמינים, שעוד לא הוגדרו כמחלימים ושלא נפטרו.

מספר המאושפזים בבתי חולים כולל גם מחלימים שעדין מאושפזים עקב סיבוכי המחלה.",2,חולים פעילים,
hardPatient,1,"מספר החולים במצב קשה וקריטי המאושפזים בבתי החולים.

חולה קשה - מי שחולה במחלת נגיף COVID-19 ושהוגדר במצב קשה או קריטי על ידי מערכת הבריאות.",3,חולים קשה,
breathedPerDate,0,סך החולים בנגיף COVID-19 המחוברים למכונת הנשמה בבתי החולים,4,מונשמים,
vaccinated,1,מספר מקבלי החיסון מפני נגיף COVID-19 מתחילת מבצע החיסונים לפי מספרי המנות.,5,מתחסנים,
deadPatientsPerDate,1,"מספר הנפטרים המצטבר ממחלת הנגיף COVID-19 החל מפרוץ המגפה.
נתוני הנפטרים מתעדכנים לאחר שנבדקו תעודות הפטירה לוידוא סיבת המוות ולכן ייתכנו עדכונים מאוחרים של מספר הנפטרים.
",6,נפטרים מצטבר,
testsTaken,1,"אחוז הנבדקים שנמצאו חיוביים לנגיף COVID-19 מתוך מספר נבדקים לגילוי הנגיף אתמול.

נבדקים לגילוי הנגיף אתמול - מספר הנבדקים לאיתור ראשוני של הנגיף (ללא בדיקות נלוות לקביעת החלמה) בבדיקות  PCR או אנטיגן מפוקחות, שהתבצעו ותוצאותיהן התקבלו משעה 00:00 עד שעה 23:59 של יום אתמול.

כלל הבדיקות אתמול – מספר כל תוצאות הבדיקות לגילוי קורונה שבוצעו מסוג PCR או אנטיגן ,הן לבדיקה ראשונית לאיתור הנגיף והן לבדיקות נלוות לקביעת החלמה, שהתקבלו החל מחצות 00:00 עד שעה 23:59 של יום אתמול.",7,אחוז נבדקים חיוביים אתמול,
isolated,0,"מספר הבידודים המדווחים משעה 00:00 עד שעה 23:59 של יום אתמול, מלבד החולים הפעילים. 

סה""כ שוהים בבידוד - סך האנשים השוהים בבידוד נכון למועד העדכון האחרון, מלבד החולים הפעילים.",8,מבודדים חדשים אתמול,
recoveredSoFar,0,,9,החלימו עד כה,
decisionIndices,0,,10,מדדי התפשטות,
