period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,80131,6615,8.26
3_Month,0-9,264862,62260,23.51
6_Month,0-9,1214290,503094,41.43
1_Year,0-9,1490131,626502,42.04
All,0-9,1699662,734504,43.21
1_Month,10-19,82496,7082,8.58
3_Month,10-19,285659,60637,21.23
6_Month,10-19,1137526,540284,47.5
1_Year,10-19,1390481,631101,45.39
All,10-19,1619356,776766,47.97
1_Month,20-29,129255,6472,5.01
3_Month,20-29,389814,65183,16.72
6_Month,20-29,979151,375417,38.34
1_Year,20-29,1224053,438078,35.79
All,20-29,1452686,559919,38.54
1_Month,30-39,125914,8687,6.9
3_Month,30-39,376206,76472,20.33
6_Month,30-39,951590,407338,42.81
1_Year,30-39,1166466,471388,40.41
All,30-39,1353218,557773,41.22
1_Month,40-49,117406,9123,7.77
3_Month,40-49,359317,73679,20.51
6_Month,40-49,869001,375532,43.21
1_Year,40-49,1044977,424918,40.66
All,40-49,1200693,499263,41.58
1_Month,50-59,107814,8137,7.55
3_Month,50-59,318291,59133,18.58
6_Month,50-59,670999,253017,37.71
1_Year,50-59,808650,280957,34.74
All,50-59,934429,338224,36.2
1_Month,60-69,97748,8706,8.91
3_Month,60-69,282094,51143,18.13
6_Month,60-69,553205,178069,32.19
1_Year,60-69,664782,195758,29.45
All,60-69,764444,234221,30.64
1_Month,70-79,66337,7410,11.17
3_Month,70-79,189301,35784,18.9
6_Month,70-79,347918,100344,28.84
1_Year,70-79,419609,110026,26.22
All,70-79,484090,130478,26.95
1_Month,80-89,28066,2620,9.34
3_Month,80-89,71308,13066,18.32
6_Month,80-89,129638,38288,29.53
1_Year,80-89,160791,42909,26.69
All,80-89,202762,53915,26.59
1_Month,90+,8085,588,7.27
3_Month,90+,17515,3015,17.21
6_Month,90+,30254,9697,32.05
1_Year,90+,38018,10899,28.67
All,90+,52316,14563,27.84
