name,isShown,rn,tile_name,tile_info,api_endpoints_name
verifiedSmall,1,1,מאומתים אתמול,"מספר המאומתים לנגיף COVID-19 שאותרו משעה 00:00 עד שעה 23:59 של יום אתמול.

סה""כ: מספר המאומתים מפרוץ המגיפה, כולל מי שהתגלו כמאומתים לנגיף שוב.

מאומתים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022) , בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.

מספר החולים הפעילים במחלת הנגיף COVID-19, נכון למועד העדכון האחרון.

חולים פעילים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022), ללא קשר להופעת תסמינים, שעוד לא הוגדרו כמחלימים ושלא נפטרו.",
sickPerLocation,0,2,חולים פעילים,"מספר החולים הפעילים במחלת הנגיף COVID-19, נכון למועד העדכון האחרון.

חולה פעילים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19, ללא קשר להופעת תסמינים, שעוד לא הוגדרו כמחלימים ושלא נפטרו.

מספר המאושפזים בבתי חולים כולל גם מחלימים שעדין מאושפזים עקב סיבוכי המחלה.",
hardPatient,1,3,חולים קשה,"מספר החולים במצב קשה וקריטי המאושפזים בבתי החולים.

חולה קשה - מי שחולה במחלת נגיף COVID-19 ושהוגדר במצב קשה או קריטי על ידי מערכת הבריאות.",
breathedPerDate,0,4,מונשמים,סך החולים בנגיף COVID-19 המחוברים למכונת הנשמה בבתי החולים,
vaccinated,1,5,מתחסנים,מספר מקבלי החיסון מפני נגיף COVID-19 מתחילת מבצע החיסונים לפי מספרי המנות.,
deadPatientsPerDate,1,6,נפטרים מצטבר,"מספר הנפטרים המצטבר ממחלת הנגיף COVID-19 החל מפרוץ המגפה.
נתוני הנפטרים מתעדכנים לאחר שנבדקו תעודות הפטירה לוידוא סיבת המוות ולכן ייתכנו עדכונים מאוחרים של מספר הנפטרים.
",
testsTaken,1,7,אחוז נבדקים חיוביים אתמול,"אחוז הנבדקים שנמצאו חיוביים לנגיף COVID-19 מתוך מספר נבדקים לגילוי הנגיף אתמול.

נבדקים לגילוי הנגיף אתמול - מספר הנבדקים לאיתור ראשוני של הנגיף (ללא בדיקות נלוות לקביעת החלמה) בבדיקות  PCR או אנטיגן מפוקחות, שהתבצעו ותוצאותיהן התקבלו משעה 00:00 עד שעה 23:59 של יום אתמול.

כלל הבדיקות אתמול – מספר כל תוצאות הבדיקות לגילוי קורונה שבוצעו מסוג PCR או אנטיגן ,הן לבדיקה ראשונית לאיתור הנגיף והן לבדיקות נלוות לקביעת החלמה, שהתקבלו החל מחצות 00:00 עד שעה 23:59 של יום אתמול.",
isolated,0,8,מבודדים חדשים אתמול,"מספר הבידודים המדווחים משעה 00:00 עד שעה 23:59 של יום אתמול, מלבד החולים הפעילים. 

סה""כ שוהים בבידוד - סך האנשים השוהים בבידוד נכון למועד העדכון האחרון, מלבד החולים הפעילים.",
recoveredSoFar,0,9,החלימו עד כה,,
decisionIndices,0,10,מדדי התפשטות,,
