dayDate,ageGroup,verifiedNormalized,avgVerifiedAmount7Days
2020-03-02T00:00:00.000Z,0-4,0,0
2020-03-02T00:00:00.000Z,5-11,0,0
2020-03-02T00:00:00.000Z,12-15,0,0
2020-03-02T00:00:00.000Z,16-19,0.17,0
2020-03-03T00:00:00.000Z,0-4,0,0
2020-03-03T00:00:00.000Z,5-11,0,0
2020-03-03T00:00:00.000Z,12-15,0.16,0
2020-03-03T00:00:00.000Z,16-19,0,0
2020-03-04T00:00:00.000Z,0-4,0,0
2020-03-04T00:00:00.000Z,5-11,0,0
2020-03-04T00:00:00.000Z,12-15,0,0
2020-03-04T00:00:00.000Z,16-19,0,0
2020-03-05T00:00:00.000Z,0-4,0,0
2020-03-05T00:00:00.000Z,5-11,0,0
2020-03-05T00:00:00.000Z,12-15,0,0
2020-03-05T00:00:00.000Z,16-19,0,0
2020-03-06T00:00:00.000Z,0-4,0,0
2020-03-06T00:00:00.000Z,5-11,0,0
2020-03-06T00:00:00.000Z,12-15,0,0
2020-03-06T00:00:00.000Z,16-19,0,0
2020-03-07T00:00:00.000Z,0-4,0,0
2020-03-07T00:00:00.000Z,5-11,0,0
2020-03-07T00:00:00.000Z,12-15,0,0
2020-03-07T00:00:00.000Z,16-19,0,0
2020-03-08T00:00:00.000Z,0-4,0,0
2020-03-08T00:00:00.000Z,5-11,0,0
2020-03-08T00:00:00.000Z,12-15,0,0
2020-03-08T00:00:00.000Z,16-19,0,0
2020-03-09T00:00:00.000Z,0-4,0,0
2020-03-09T00:00:00.000Z,5-11,0,0
2020-03-09T00:00:00.000Z,12-15,0,0
2020-03-09T00:00:00.000Z,16-19,0,0
2020-03-10T00:00:00.000Z,0-4,0,0
2020-03-10T00:00:00.000Z,5-11,0.08,0
2020-03-10T00:00:00.000Z,12-15,0,0
2020-03-10T00:00:00.000Z,16-19,0.17,0
2020-03-11T00:00:00.000Z,0-4,0,0
2020-03-11T00:00:00.000Z,5-11,0.16,0
2020-03-11T00:00:00.000Z,12-15,0,0
2020-03-11T00:00:00.000Z,16-19,0,0
2020-03-12T00:00:00.000Z,0-4,0.11,0
2020-03-12T00:00:00.000Z,5-11,0.16,0
2020-03-12T00:00:00.000Z,12-15,0.16,0
2020-03-12T00:00:00.000Z,16-19,0.34,0
2020-03-13T00:00:00.000Z,0-4,0,0
2020-03-13T00:00:00.000Z,5-11,0,0
2020-03-13T00:00:00.000Z,12-15,0,0
2020-03-13T00:00:00.000Z,16-19,0,0
2020-03-14T00:00:00.000Z,0-4,0,0
2020-03-14T00:00:00.000Z,5-11,0.32,1
2020-03-14T00:00:00.000Z,12-15,0.47,0
2020-03-14T00:00:00.000Z,16-19,0.17,0
2020-03-15T00:00:00.000Z,0-4,0.11,0
2020-03-15T00:00:00.000Z,5-11,0,1
2020-03-15T00:00:00.000Z,12-15,0.47,1
2020-03-15T00:00:00.000Z,16-19,0,0
2020-03-16T00:00:00.000Z,0-4,0,0
2020-03-16T00:00:00.000Z,5-11,0.16,1
2020-03-16T00:00:00.000Z,12-15,0.31,1
2020-03-16T00:00:00.000Z,16-19,0.51,1
2020-03-17T00:00:00.000Z,0-4,0.22,0
2020-03-17T00:00:00.000Z,5-11,0.16,1
2020-03-17T00:00:00.000Z,12-15,0.31,1
2020-03-17T00:00:00.000Z,16-19,0.17,1
2020-03-18T00:00:00.000Z,0-4,0.33,1
2020-03-18T00:00:00.000Z,5-11,0.48,2
2020-03-18T00:00:00.000Z,12-15,0.79,2
2020-03-18T00:00:00.000Z,16-19,0.68,1
2020-03-19T00:00:00.000Z,0-4,0.22,1
2020-03-19T00:00:00.000Z,5-11,0,2
2020-03-19T00:00:00.000Z,12-15,0.94,3
2020-03-19T00:00:00.000Z,16-19,1.18,2
2020-03-20T00:00:00.000Z,0-4,0.22,1
2020-03-20T00:00:00.000Z,5-11,0.24,2
2020-03-20T00:00:00.000Z,12-15,0.63,3
2020-03-20T00:00:00.000Z,16-19,1.52,3
2020-03-21T00:00:00.000Z,0-4,0.11,1
2020-03-21T00:00:00.000Z,5-11,0.08,2
2020-03-21T00:00:00.000Z,12-15,0.47,3
2020-03-21T00:00:00.000Z,16-19,1.52,4
2020-03-22T00:00:00.000Z,0-4,0.87,2
2020-03-22T00:00:00.000Z,5-11,0.32,2
2020-03-22T00:00:00.000Z,12-15,0.79,3
2020-03-22T00:00:00.000Z,16-19,0.84,5
2020-03-23T00:00:00.000Z,0-4,0.55,3
2020-03-23T00:00:00.000Z,5-11,1.05,4
2020-03-23T00:00:00.000Z,12-15,1.1,4
2020-03-23T00:00:00.000Z,16-19,3.04,7
2020-03-24T00:00:00.000Z,0-4,0.98,4
2020-03-24T00:00:00.000Z,5-11,1.05,5
2020-03-24T00:00:00.000Z,12-15,2.51,6
2020-03-24T00:00:00.000Z,16-19,3.21,10
2020-03-25T00:00:00.000Z,0-4,0.77,4
2020-03-25T00:00:00.000Z,5-11,0.97,6
2020-03-25T00:00:00.000Z,12-15,1.89,7
2020-03-25T00:00:00.000Z,16-19,2.53,11
2020-03-26T00:00:00.000Z,0-4,1.31,6
2020-03-26T00:00:00.000Z,5-11,1.05,8
2020-03-26T00:00:00.000Z,12-15,2.36,8
2020-03-26T00:00:00.000Z,16-19,4.22,14
2020-03-27T00:00:00.000Z,0-4,0.87,7
2020-03-27T00:00:00.000Z,5-11,1.53,10
2020-03-27T00:00:00.000Z,12-15,1.41,9
2020-03-27T00:00:00.000Z,16-19,4.56,16
2020-03-28T00:00:00.000Z,0-4,1.31,8
2020-03-28T00:00:00.000Z,5-11,1.45,13
2020-03-28T00:00:00.000Z,12-15,2.83,11
2020-03-28T00:00:00.000Z,16-19,6.08,20
2020-03-29T00:00:00.000Z,0-4,0.98,8
2020-03-29T00:00:00.000Z,5-11,1.21,14
2020-03-29T00:00:00.000Z,12-15,2.51,13
2020-03-29T00:00:00.000Z,16-19,4.73,24
2020-03-30T00:00:00.000Z,0-4,1.64,10
2020-03-30T00:00:00.000Z,5-11,2.34,17
2020-03-30T00:00:00.000Z,12-15,2.36,14
2020-03-30T00:00:00.000Z,16-19,5.06,25
2020-03-31T00:00:00.000Z,0-4,2.08,11
2020-03-31T00:00:00.000Z,5-11,2.82,20
2020-03-31T00:00:00.000Z,12-15,6.28,17
2020-03-31T00:00:00.000Z,16-19,7.26,29
2020-04-01T00:00:00.000Z,0-4,1.75,13
2020-04-01T00:00:00.000Z,5-11,2.99,23
2020-04-01T00:00:00.000Z,12-15,3.77,19
2020-04-01T00:00:00.000Z,16-19,7.09,33
2020-04-02T00:00:00.000Z,0-4,1.53,13
2020-04-02T00:00:00.000Z,5-11,2.82,26
2020-04-02T00:00:00.000Z,12-15,2.67,19
2020-04-02T00:00:00.000Z,16-19,8.27,36
2020-04-03T00:00:00.000Z,0-4,2.08,14
2020-04-03T00:00:00.000Z,5-11,1.69,27
2020-04-03T00:00:00.000Z,12-15,3.46,21
2020-04-03T00:00:00.000Z,16-19,8.94,40
2020-04-04T00:00:00.000Z,0-4,1.2,14
2020-04-04T00:00:00.000Z,5-11,2.26,28
2020-04-04T00:00:00.000Z,12-15,3.77,22
2020-04-04T00:00:00.000Z,16-19,7.26,41
2020-04-05T00:00:00.000Z,0-4,1.53,15
2020-04-05T00:00:00.000Z,5-11,2.58,31
2020-04-05T00:00:00.000Z,12-15,4.71,24
