date,cases,recovered,tests,positiveRate,positiveRatePCR,positiveRateAntigen,deaths,severeNew,mediumNew,easyNew,countEasyStatus,countMediumStatus,countHardStatus,countBreath,countCriticalStatus,countSeriousCriticalCum,newHospitalized,countBreathCum,countHospitalized,countEcmo
2020-02-12,0,0,,,,,,,,,,,,,,,,,,
2020-02-13,0,0,,,,,,,,,,,,,,,,,,
2020-02-14,0,0,,,,,,,,,,,,,,,,,,
2020-02-15,0,0,,,,,,,,,,,,,,,,,,
2020-02-16,0,0,,,,,,,,,,,,,,,,,,
2020-02-17,0,0,,,,,,,,,,,,,,,,,,
2020-02-18,0,0,,,,,,,,,,,,,,,,,,
2020-02-19,0,0,,,,,,,,,,,,,,,,,,
2020-02-20,0,1,28,0,0,,,,,,,,,,,,,,,
2020-02-21,1,0,28,3.57,3.57,,,,,,,,,,,,,,,
2020-02-22,0,0,13,0,0,,,,,,,,,,,,,,,
2020-02-23,0,0,56,0,0,,,,,,,,,,,,,,,
2020-02-24,1,0,71,1.41,1.41,,,,,,,,,,,,,,,
2020-02-25,0,0,108,0,0,,,,,,,,,,,,,,,
2020-02-26,0,0,107,0,0,,,,,,,,,,,,,,,
2020-02-27,1,0,139,0.72,0.72,,,,,,,,,,,,,,,
2020-02-28,3,0,118,2.54,2.54,,,,,,,,,,,,,,,
2020-02-29,0,0,158,0,0,,,,,,,,,,,,,,,
2020-03-01,1,0,160,0.63,0.63,,,,,,,,,,,,,,,
2020-03-02,5,0,170,2.94,2.94,,0,0,0,3,10,0,0,0,0,0,3,0,10,
2020-03-03,3,0,226,1.33,1.33,,0,0,0,1,10,0,0,0,0,0,0,0,11,
2020-03-04,0,0,127,0,0,,0,0,0,3,12,0,0,0,0,0,3,0,12,
2020-03-05,9,0,163,5.52,5.52,,0,1,0,1,12,0,1,0,0,1,2,0,13,0
2020-03-06,4,0,273,1.47,1.47,,0,1,0,3,14,0,2,1,0,2,3,1,16,0
2020-03-07,4,0,322,1.24,1.24,,0,1,0,2,16,0,3,2,0,3,3,2,19,0
