section,male,female,period
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 2, 'percentage': 0}",שנה
0-9,"{'amount': 7, 'percentage': 0.1}","{'amount': 5, 'percentage': 0}",מתחילת קורונה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 8, 'percentage': 0.1}",מתחילת קורונה
20-29,"{'amount': 24, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 2, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",6 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 5, 'percentage': 0.1}","{'amount': 9, 'percentage': 0.2}",שנה
30-39,"{'amount': 6, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.3}",6 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.3}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
30-39,"{'amount': 23, 'percentage': 0.5}","{'amount': 17, 'percentage': 0.3}",שנה
30-39,"{'amount': 53, 'percentage': 0.5}","{'amount': 40, 'percentage': 0.3}",מתחילת קורונה
40-49,"{'amount': 13, 'percentage': 0.7}","{'amount': 7, 'percentage': 0.4}",6 חודשים
40-49,"{'amount': 4, 'percentage': 0.6}","{'amount': 4, 'percentage': 0.6}",3 חודשים
40-49,"{'amount': 1, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
40-49,"{'amount': 54, 'percentage': 1.1}","{'amount': 24, 'percentage': 0.5}",שנה
40-49,"{'amount': 124, 'percentage': 1.1}","{'amount': 79, 'percentage': 0.7}",מתחילת קורונה
50-59,"{'amount': 8, 'percentage': 1.2}","{'amount': 3, 'percentage': 0.5}",3 חודשים
50-59,"{'amount': 40, 'percentage': 2.1}","{'amount': 20, 'percentage': 1}",6 חודשים
50-59,"{'amount': 1, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.6}",חודש אחרון
50-59,"{'amount': 138, 'percentage': 2.8}","{'amount': 76, 'percentage': 1.6}",שנה
50-59,"{'amount': 393, 'percentage': 3.4}","{'amount': 202, 'percentage': 1.8}",מתחילת קורונה
60-69,"{'amount': 132, 'percentage': 6.8}","{'amount': 75, 'percentage': 3.8}",6 חודשים
60-69,"{'amount': 37, 'percentage': 5.7}","{'amount': 14, 'percentage': 2.2}",3 חודשים
60-69,"{'amount': 18, 'percentage': 5.2}","{'amount': 8, 'percentage': 2.3}",חודש אחרון
60-69,"{'amount': 379, 'percentage': 7.7}","{'amount': 258, 'percentage': 5.3}",שנה
60-69,"{'amount': 1032, 'percentage': 9}","{'amount': 568, 'percentage': 5}",מתחילת קורונה
70-79,"{'amount': 88, 'percentage': 13.5}","{'amount': 61, 'percentage': 9.4}",3 חודשים
70-79,"{'amount': 267, 'percentage': 13.7}","{'amount': 188, 'percentage': 9.6}",6 חודשים
70-79,"{'amount': 44, 'percentage': 12.7}","{'amount': 32, 'percentage': 9.2}",חודש אחרון
70-79,"{'amount': 671, 'percentage': 13.7}","{'amount': 482, 'percentage': 9.8}",שנה
70-79,"{'amount': 1722, 'percentage': 15}","{'amount': 1095, 'percentage': 9.6}",מתחילת קורונה
80-89,"{'amount': 363, 'percentage': 18.6}","{'amount': 338, 'percentage': 17.3}",6 חודשים
80-89,"{'amount': 116, 'percentage': 17.8}","{'amount': 115, 'percentage': 17.7}",3 חודשים
80-89,"{'amount': 63, 'percentage': 18.2}","{'amount': 61, 'percentage': 17.6}",חודש אחרון
80-89,"{'amount': 880, 'percentage': 18}","{'amount': 839, 'percentage': 17.1}",שנה
80-89,"{'amount': 2017, 'percentage': 17.6}","{'amount': 1857, 'percentage': 16.2}",מתחילת קורונה
90+,"{'amount': 233, 'percentage': 12}","{'amount': 253, 'percentage': 13}",6 חודשים
90+,"{'amount': 49, 'percentage': 14.2}","{'amount': 65, 'percentage': 18.8}",חודש אחרון
90+,"{'amount': 92, 'percentage': 14.2}","{'amount': 105, 'percentage': 16.2}",3 חודשים
90+,"{'amount': 455, 'percentage': 9.3}","{'amount': 569, 'percentage': 11.6}",שנה
90+,"{'amount': 958, 'percentage': 8.4}","{'amount': 1251, 'percentage': 10.9}",מתחילת קורונה
