section,male,female,period
0-9,"{'amount': 10, 'percentage': 0.4}","{'amount': 8, 'percentage': 0.3}",3 חודשים
0-9,"{'amount': 91, 'percentage': 0.6}","{'amount': 56, 'percentage': 0.4}",שנה
0-9,"{'amount': 6, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.2}",חודש אחרון
0-9,"{'amount': 36, 'percentage': 0.6}","{'amount': 28, 'percentage': 0.5}",6 חודשים
0-9,"{'amount': 124, 'percentage': 0.4}","{'amount': 77, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 45, 'percentage': 0.3}","{'amount': 36, 'percentage': 0.3}",שנה
10-19,"{'amount': 11, 'percentage': 0.2}","{'amount': 14, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 81, 'percentage': 0.3}","{'amount': 81, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 95, 'percentage': 0.7}","{'amount': 107, 'percentage': 0.8}",שנה
20-29,"{'amount': 4, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.4}",חודש אחרון
20-29,"{'amount': 27, 'percentage': 0.4}","{'amount': 21, 'percentage': 0.3}",6 חודשים
20-29,"{'amount': 7, 'percentage': 0.3}","{'amount': 13, 'percentage': 0.5}",3 חודשים
20-29,"{'amount': 248, 'percentage': 0.8}","{'amount': 283, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 12, 'percentage': 0.4}","{'amount': 10, 'percentage': 0.4}",3 חודשים
30-39,"{'amount': 224, 'percentage': 1.6}","{'amount': 216, 'percentage': 1.5}",שנה
30-39,"{'amount': 8, 'percentage': 0.5}","{'amount': 5, 'percentage': 0.3}",חודש אחרון
30-39,"{'amount': 46, 'percentage': 0.8}","{'amount': 36, 'percentage': 0.6}",6 חודשים
30-39,"{'amount': 641, 'percentage': 2}","{'amount': 598, 'percentage': 1.9}",מתחילת קורונה
40-49,"{'amount': 31, 'percentage': 1.1}","{'amount': 23, 'percentage': 0.8}",3 חודשים
40-49,"{'amount': 466, 'percentage': 3.3}","{'amount': 343, 'percentage': 2.4}",שנה
40-49,"{'amount': 17, 'percentage': 1.1}","{'amount': 15, 'percentage': 0.9}",חודש אחרון
40-49,"{'amount': 102, 'percentage': 1.7}","{'amount': 61, 'percentage': 1}",6 חודשים
40-49,"{'amount': 1428, 'percentage': 4.6}","{'amount': 983, 'percentage': 3.1}",מתחילת קורונה
50-59,"{'amount': 757, 'percentage': 5.3}","{'amount': 548, 'percentage': 3.9}",שנה
50-59,"{'amount': 74, 'percentage': 2.7}","{'amount': 54, 'percentage': 2}",3 חודשים
50-59,"{'amount': 225, 'percentage': 3.7}","{'amount': 135, 'percentage': 2.2}",6 חודשים
50-59,"{'amount': 49, 'percentage': 3.1}","{'amount': 29, 'percentage': 1.8}",חודש אחרון
50-59,"{'amount': 2290, 'percentage': 7.3}","{'amount': 1616, 'percentage': 5.2}",מתחילת קורונה
60-69,"{'amount': 224, 'percentage': 8.3}","{'amount': 132, 'percentage': 4.9}",3 חודשים
60-69,"{'amount': 1320, 'percentage': 9.3}","{'amount': 966, 'percentage': 6.8}",שנה
60-69,"{'amount': 129, 'percentage': 8.2}","{'amount': 74, 'percentage': 4.7}",חודש אחרון
60-69,"{'amount': 511, 'percentage': 8.4}","{'amount': 357, 'percentage': 5.8}",6 חודשים
60-69,"{'amount': 3464, 'percentage': 11}","{'amount': 2334, 'percentage': 7.4}",מתחילת קורונה
70-79,"{'amount': 1840, 'percentage': 13}","{'amount': 1442, 'percentage': 10.2}",שנה
70-79,"{'amount': 859, 'percentage': 14}","{'amount': 686, 'percentage': 11.2}",6 חודשים
70-79,"{'amount': 213, 'percentage': 13.5}","{'amount': 188, 'percentage': 11.9}",חודש אחרון
70-79,"{'amount': 382, 'percentage': 14.1}","{'amount': 311, 'percentage': 11.5}",3 חודשים
70-79,"{'amount': 4017, 'percentage': 12.8}","{'amount': 3060, 'percentage': 9.8}",מתחילת קורונה
80-89,"{'amount': 1890, 'percentage': 13.3}","{'amount': 1948, 'percentage': 13.7}",שנה
80-89,"{'amount': 263, 'percentage': 16.6}","{'amount': 270, 'percentage': 17.1}",חודש אחרון
80-89,"{'amount': 971, 'percentage': 15.9}","{'amount': 948, 'percentage': 15.5}",6 חודשים
80-89,"{'amount': 451, 'percentage': 16.6}","{'amount': 450, 'percentage': 16.6}",3 חודשים
80-89,"{'amount': 3459, 'percentage': 11}","{'amount': 3564, 'percentage': 11.4}",מתחילת קורונה
90+,"{'amount': 722, 'percentage': 5.1}","{'amount': 1067, 'percentage': 7.5}",שנה
90+,"{'amount': 194, 'percentage': 7.2}","{'amount': 314, 'percentage': 11.6}",3 חודשים
90+,"{'amount': 106, 'percentage': 6.7}","{'amount': 191, 'percentage': 12.1}",חודש אחרון
90+,"{'amount': 449, 'percentage': 7.3}","{'amount': 594, 'percentage': 9.7}",6 חודשים
90+,"{'amount': 1210, 'percentage': 3.9}","{'amount': 1815, 'percentage': 5.8}",מתחילת קורונה
