gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,6 חודשים,49034,5.4,0,0,6,0.7,24,0.6,724,4.1
זכר,0-9,שנה,332059,9.6,4,0.1,24,1,77,0.6,2144,5.1
זכר,0-9,חודש אחרון,926,3,0,0,1,0.7,2,0.4,67,3.2
זכר,0-9,מתחילת קורונה,441505,9.6,7,0.1,34,0.5,124,0.4,3275,3.7
זכר,0-9,3 חודשים,21023,4.7,0,0,5,1.1,8,0.3,476,4
נקבה,0-9,מתחילת קורונה,362746,7.9,5,0,17,0.3,78,0.2,2649,3
נקבה,0-9,חודש אחרון,1063,3.4,0,0,0,0,1,0.2,53,2.5
נקבה,0-9,3 חודשים,18387,4.1,0,0,1,0.2,9,0.3,372,3.1
נקבה,0-9,6 חודשים,41154,4.6,0,0,3,0.4,12,0.3,576,3.3
נקבה,0-9,שנה,268206,7.8,2,0,10,0.4,52,0.4,1727,4.1
זכר,10-19,6 חודשים,42474,4.7,0,0,1,0.1,5,0.1,155,0.9
זכר,10-19,מתחילת קורונה,439163,9.6,7,0.1,25,0.4,82,0.3,1081,1.2
זכר,10-19,שנה,310874,9,5,0.1,16,0.7,40,0.3,549,1.3
זכר,10-19,חודש אחרון,928,3,0,0,1,0.7,1,0.2,14,0.7
זכר,10-19,3 חודשים,17775,4,0,0,1,0.2,4,0.1,107,0.9
נקבה,10-19,חודש אחרון,1224,3.9,0,0,0,0,0,0,14,0.7
נקבה,10-19,6 חודשים,44452,4.9,1,0.1,2,0.2,8,0.2,179,1
נקבה,10-19,שנה,311992,9.1,4,0.1,13,0.5,29,0.2,601,1.4
נקבה,10-19,מתחילת קורונה,429150,9.3,8,0.1,23,0.4,81,0.3,1217,1.4
נקבה,10-19,3 חודשים,18752,4.2,0,0,0,0,4,0.1,120,1
זכר,20-29,מתחילת קורונה,268562,5.8,25,0.2,57,0.9,251,0.8,1668,1.9
זכר,20-29,חודש אחרון,1223,3.9,0,0,1,0.7,3,0.7,22,1
זכר,20-29,3 חודשים,20200,4.5,1,0.1,3,0.7,8,0.3,133,1.1
זכר,20-29,שנה,177111,5.1,6,0.1,22,0.9,79,0.7,630,1.5
זכר,20-29,6 חודשים,43323,4.8,2,0.2,6,0.7,14,0.3,216,1.2
נקבה,20-29,מתחילת קורונה,380794,8.3,22,0.2,62,1,284,0.9,5409,6.2
נקבה,20-29,חודש אחרון,1870,6,0,0,1,0.7,4,0.9,57,2.7
נקבה,20-29,3 חודשים,27873,6.2,0,0,6,1.3,14,0.5,488,4.1
נקבה,20-29,6 חודשים,62121,6.9,0,0,6,0.7,16,0.4,754,4.3
נקבה,20-29,שנה,271627,7.9,7,0.2,22,0.9,89,0.7,2627,6.3
זכר,30-39,מתחילת קורונה,268635,5.8,53,0.5,106,1.6,643,2,2355,2.7
זכר,30-39,חודש אחרון,1433,4.6,0,0,1,0.7,4,0.9,21,1
זכר,30-39,3 חודשים,25195,5.6,0,0,3,0.7,15,0.5,180,1.5
זכר,30-39,שנה,196424,5.7,17,0.4,42,1.8,173,1.4,854,2
זכר,30-39,6 חודשים,53924,6,3,0.2,15,1.9,29,0.7,292,1.7
נקבה,30-39,6 חודשים,74096,8.2,4,0.3,17,2.1,23,0.6,802,4.6
נקבה,30-39,שנה,299746,8.7,14,0.3,38,1.6,158,1.3,2662,6.3
נקבה,30-39,חודש אחרון,2230,7.1,0,0,3,2.1,1,0.2,58,2.8
נקבה,30-39,מתחילת קורונה,387885,8.4,40,0.3,113,1.7,599,1.9,5480,6.2
