instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-10-25T00:00:00.000Z
Tel Aviv Medical Center       ,,,2022-10-25T00:00:00.000Z
,,,2022-10-25T00:00:00.000Z
Assuta Ashdod                 ,,,2022-10-25T00:00:00.000Z
Soroka Medical Center         ,67.1,81.2,2022-10-25T00:00:00.000Z
Rabin K. Hasharon             ,78.9,88.4,2022-10-25T00:00:00.000Z
Hacarmel Hospital             ,80.2,89,2022-10-25T00:00:00.000Z
Poriah Hospital               ,84.6,78,2022-10-25T00:00:00.000Z
Bnei Ziom Medical Center      ,93.4,94.7,2022-10-25T00:00:00.000Z
Barzilai Medical Center       ,100.5,92.4,2022-10-25T00:00:00.000Z
,,,2022-10-25T00:00:00.000Z
Woolfson Medical Center       ,76.2,85.4,2022-10-25T00:00:00.000Z
      Ziv Hospital            ,82.8,83,2022-10-25T00:00:00.000Z
Assaf Harofeh Medical Center  ,84.2,72,2022-10-25T00:00:00.000Z
Yosephtal Hospital            ,87.5,60,2022-10-25T00:00:00.000Z
Meir Hospital                 ,90.5,92.8,2022-10-25T00:00:00.000Z
Hadassah Mount Scopus         ,94.4,81.9,2022-10-25T00:00:00.000Z
Haemek Valley Center Hospital ,97.4,74.4,2022-10-25T00:00:00.000Z
Hillel Yaffeh Medical Center  ,99.3,93.6,2022-10-25T00:00:00.000Z
Hadassah Ein Kerem            ,117.5,100.4,2022-10-25T00:00:00.000Z
The Holy Family               ,,,2022-10-25T00:00:00.000Z
,,,2022-10-25T00:00:00.000Z
Laniado                       ,102.6,103.9,2022-10-25T00:00:00.000Z
,,40.3,2022-10-25T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-10-25T00:00:00.000Z
Nahariya                      ,98.9,89.9,2022-10-25T00:00:00.000Z
,,,2022-10-25T00:00:00.000Z
Shmuel Harofe                 ,94.4,81.5,2022-10-25T00:00:00.000Z
Chaim Sheba Medical Center    ,98.3,110.4,2022-10-25T00:00:00.000Z
Kaplan Hospital               ,99.3,92.4,2022-10-25T00:00:00.000Z
Rambam                        ,104,93.1,2022-10-25T00:00:00.000Z
Rabin K. Beilinson            ,155.9,120.1,2022-10-25T00:00:00.000Z
Shaare Zedek                  ,,,2022-10-25T00:00:00.000Z
