date,cases,recovered,countEasyStatus,countMediumStatus,countHardStatus,countBreath,countCriticalStatus,countSeriousCriticalCum,newHospitalized,countBreathCum,countEcmo
2020-02-12,0,0,,,,,,,,,
2020-02-13,0,0,,,,,,,,,
2020-02-14,0,0,,,,,,,,,
2020-02-15,0,0,,,,,,,,,
2020-02-16,0,0,,,,,,,,,
2020-02-17,0,0,,,,,,,,,
2020-02-18,0,0,,,,,,,,,
2020-02-19,0,0,,,,,,,,,
2020-02-20,0,1,,,,,,,,,
2020-02-21,1,0,,,,,,,,,
2020-02-22,0,0,,,,,,,,,
2020-02-23,0,0,,,,,,,,,
2020-02-24,1,0,,,,,,,,,
2020-02-25,0,0,,,,,,,,,
2020-02-26,0,0,,,,,,,,,
2020-02-27,1,0,,,,,,,,,
2020-02-28,3,0,,,,,,,,,
2020-02-29,0,0,,,,,,,,,
2020-03-01,1,0,,,,,,,,,
2020-03-02,5,0,10,0,0,0,0,0,3,0,
2020-03-03,3,0,10,0,0,0,0,0,0,0,
2020-03-04,0,0,12,0,0,0,0,0,3,0,
2020-03-05,9,0,12,0,1,0,0,1,2,0,0
2020-03-06,4,0,14,0,2,1,0,2,3,1,0
2020-03-07,4,0,16,0,3,2,0,3,3,2,0
2020-03-08,9,0,21,0,5,4,0,5,8,4,
2020-03-09,4,0,35,0,5,4,0,5,16,4,0
2020-03-10,33,0,55,0,6,5,0,6,19,5,0
2020-03-11,18,0,76,1,7,6,0,7,25,6,0
2020-03-12,23,0,99,1,7,6,0,7,23,6,0
2020-03-13,35,1,114,5,7,6,0,7,23,6,0
2020-03-14,29,0,155,5,6,4,0,8,40,6,0
2020-03-15,40,0,189,7,9,6,0,11,41,8,0
2020-03-16,73,0,207,6,11,7,0,13,24,9,0
2020-03-17,94,2,240,7,12,7,0,14,48,9,0
2020-03-18,125,2,284,12,16,7,0,18,53,9,0
2020-03-19,135,4,267,12,21,12,0,23,30,14,0
2020-03-20,168,1,255,15,23,12,0,26,30,14,0
2020-03-21,209,0,235,22,27,15,0,30,34,17,0
