rn,title,shortTitle,secondaryTitle,imageSrc,url,description,dividerColor,sortOrder,linkUpdatedFromDate,groupID,groupTitle,groupShortTitle,groupMainUrl,displayInMenu,isPublic,onlyForMobile,onlyForDesktop,section,shortUrl
4,דו״ח 1,דו״ח 1 - אשפוז,נובמבר 2020,./assets/images/report_turquoise.jpg,assets/other/hayadata_report1.pdf,בחינת משך ימי אשפוז חולי קורונה כגורם תורם לעומס בבתי החולים,,1,2020-11-01T00:00:00.000Z,1,דוחות הֲיָ-DATA,הי-DATA,,True,True,False,False,,
5,מפת מדדי רמזור,"מדדי תחלואה וציוני רמזור, בחלוקה לפי יישובים ורובעים",ליישובים בישראל,./assets/images/link_ramzor1.jpg,https://experience.arcgis.com/experience/fadfe26cd1a0417db51973dcf158fca8?locale=he,,,1,2021-08-09T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,ramzor,experience.arcgis.com
7,התחסנות לקורונה,"נתוני אוכלוסיית מחוסנים בתוקף, לפי יישובים",לפי יישובים,./assets/images/link_vaccinated1.jpg,https://experience.arcgis.com/experience/bd52287cce7d48a2ba138240ec724b3e?locale=he,,,1,2021-08-09T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,vaccinated,experience.arcgis.com
11,טבלת האוכלוסייה הצעירה,,,,https://data.gov.il/dataset/covid-19/resource/767ffb4e-a473-490d-be80-faac0d83cae7,מספר הבדיקות והמאומתים ברמה השבועית בקטגוריות של גיל ומחוז,#3564cc,1,2021-05-05T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
12,תעופה בזמן קורונה,רמזור מדינות העולם לפי רמת סיכון,צבעי המדינות בעולם,./assets/images/link_abroad1.jpg,https://experience.arcgis.com/experience/23d35bf0ccbc40d1ad5b5af92b967c95,,,1,2021-09-13T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,abroad,experience.arcgis.com
13,בדיקות מהירות,"מפת בדיקות מהירות לקורונה, כולל נתונים אודות שעות פתיחה וניווט",בפריסה ארצית,./assets/images/link_tests1.jpg,https://giscovidtests.health.gov.il/,,,1,2021-09-13T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,tests,health.gov.il
20,מבודדים לפי רשות מקומית וגיל,"תמונת מצב אודות נתוני בידודים פעילים, לפי רשות מקומית וגיל",,./assets/images/link_isolated1.jpg,https://imoh.maps.arcgis.com/apps/MapSeries/index.html?appid=c0f6a33fcf9b4a7c95edd4f6ff0ea2ca,,,1,,2,GIS,GIS,,True,True,,,isolated,maps.arcgis.com
3,דו״ח 2,דו״ח 2 - חולים במצב קשה,ינואר 2021,./assets/images/report_lightblue.jpg,assets/other/hayadata_report2.pdf,מאושפזי קורונה במצב קשה: גורמי סיכון ומאפיינים,,2,2021-01-01T00:00:00.000Z,1,דוחות הֲיָ-DATA,הי-DATA,,True,True,False,False,,
10,טבלת הישובים,,,,https://data.gov.il/dataset/covid-19/resource/8a21d39d-91e3-40db-aca1-f73f7ab1df69,"נתוני מאומתים, מחלימים, נפטרים, מספר בדיקות וציוני הרמזור ברמת הישוב והיום.",#007f7f,2,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
15,נתוני מבודדים,נתונים אודות בדודים פעילים,,./assets/images/link_isolated2.jpg,https://data.gov.il/dataset/covid-19/resource/9eedd26c-019b-433a-b28b-efcc98de378d,,,2,,,,,,,True,,,isolated,data.gov.il
