period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,110,203,20.72,38.23
3_Month,5-11,441,864,19.24,37.7
6_Month,5-11,1170,2995,13.62,34.87
1_Year,5-11,5066,41943,1.37,11.32
All,5-11,5400,53768,0.74,7.41
1_Month,12-15,171,80,36.38,17.02
3_Month,12-15,786,369,35.34,16.59
6_Month,12-15,1377,955,24.35,16.88
1_Year,12-15,7582,12045,4.49,7.14
All,12-15,9763,19213,2.8,5.51
1_Month,16-19,739,70,52.75,5
3_Month,16-19,2199,266,47.34,5.73
6_Month,16-19,3279,552,36.88,6.21
1_Year,16-19,12773,5536,8.95,3.88
All,16-19,17161,11490,5.48,3.67
1_Month,20-29,1771,152,51.01,4.38
3_Month,20-29,5392,487,46.36,4.19
6_Month,20-29,8904,1243,34.15,4.77
1_Year,20-29,33909,11732,10.45,3.61
All,20-29,43224,22186,6.49,3.33
1_Month,30-39,1595,182,46.03,5.25
3_Month,30-39,5150,618,42.03,5.04
6_Month,30-39,9223,1584,30.68,5.27
1_Year,30-39,34975,13049,9.13,3.41
All,30-39,42060,20605,6.23,3.05
1_Month,40-49,1876,155,49.29,4.07
3_Month,40-49,6241,501,45.45,3.65
6_Month,40-49,10140,1286,31.86,4.04
1_Year,40-49,32996,9660,9.11,2.67
All,40-49,39521,15205,6.46,2.48
1_Month,50-59,1524,117,40.42,3.1
3_Month,50-59,5089,455,36.22,3.24
6_Month,50-59,8142,936,25.18,2.89
1_Year,50-59,23011,5569,8.44,2.04
All,50-59,26880,8441,6.17,1.94
1_Month,60-69,1187,83,29.33,2.05
3_Month,60-69,4114,281,26.78,1.83
6_Month,60-69,6666,580,17.99,1.56
1_Year,60-69,15934,3001,7.12,1.34
All,60-69,18292,4472,5.51,1.35
1_Month,70-79,846,49,21.88,1.27
3_Month,70-79,2810,148,18.75,0.99
6_Month,70-79,4648,290,12.64,0.79
1_Year,70-79,9260,1098,5.78,0.68
All,70-79,10253,1516,4.74,0.7
1_Month,80+,627,58,19.79,1.83
3_Month,80+,1934,172,17.96,1.6
6_Month,80+,3338,313,13.88,1.3
1_Year,80+,6123,800,7.15,0.93
All,80+,6723,1010,5.69,0.86
